objectnummer,titel,probleem_bucket,geografisch_trefwoord,geo_detail_termen,geo_detail_sources,geo_detail_broader_terms
RP-F-F01203-CS,Exterieur van het Monte Palace Hotel op Madeira,unresolved-only,Madeira,Madeira,unresolved,
RP-F-F01203-CT,Mannen op een schoenenmarkt te Funchal op Madeira,unresolved-only,Funchal,Funchal,unresolved,
RP-F-F01203-CU,"Gezicht op treinstel, station en publiek op het Vaillantsplein in Paramaribo bij de opening van de Lawaspoorweg (Landsspoorweg) op 28 maart 1905",thesaurus-no-coords,Vaillantsplein,Vaillantsplein,thesaurus,Paramaribo (stad)
RP-F-F01203-CW,Portret van een onbekende man,no-geo-details,,,,
RP-F-F01203-CY,Gezicht op treinstel en publiek op het Vaillantsplein in Paramaribo bij de opening van de Lawaspoorweg (Landsspoorweg) op 28 maart 1905,thesaurus-no-coords,Vaillantsplein,Vaillantsplein,thesaurus,Paramaribo (stad)
RP-F-F01203-CZ,Gezicht op de Waterkant in Paramaribo langs het traject van de Lawaspoorweg (Landsspoorweg),thesaurus-no-coords,Waterkant,Waterkant,thesaurus,Paramaribo (stad)
RP-F-F01203-DB,Drie vrouwen op het terras van het Badhotel in Wijk aan Zee,unresolved-only,Wijk aan Zee,Wijk aan Zee,unresolved,
RP-F-F01203-DC,"Twee vrouwen in zee, vermoedelijk bij Wijk aan Zee",unresolved-only,Wijk aan Zee,Wijk aan Zee,unresolved,
RP-F-F01203-DD,Drie vrouwen poserend bij een auto in Wijk aan Zee,unresolved-only,Wijk aan Zee,Wijk aan Zee,unresolved,
RP-F-F01203-DE,Drie vrouwen op het terras van het Badhotel in Wijk aan Zee,unresolved-only,Wijk aan Zee,Wijk aan Zee,unresolved,
RP-F-F01203-DG,"Groepsportret van jonge vrouwen in een tekenschool, vermoedelijk in Nederland",no-geo-details,,,,
RP-F-F01203-DI,Gezelschap waaronder leden van de familie Terlaak in een open bus in Berlijn,unresolved-only,Berlijn,Berlijn,unresolved,
RP-F-F01203-DJ,Gezelschap waaronder leden van de familie Ottenhof achter een paardenslee in Sankt Moritz,unresolved-only,Sankt Moritz,Sankt Moritz,unresolved,
RP-F-F01203-DK,Europese vrouw poserend bij een trap in Indiase kleding,no-geo-details,,,,
RP-F-F01203-DM,"Vrouw met kat in haar armen, mogelijk in Paramaribo (uitgeknipt)",no-geo-details,,,,
RP-F-F01203-DN,Europese vrouw gekleed als geisha,no-geo-details,,,,
RP-F-F01203-DO,Gezelschap drinkt koffie in etablissement,no-geo-details,,,,
RP-F-F01203-DP,Gezelschap aan boord van de S.S. 'Van Rensselaer',no-geo-details,,,,
RP-F-F01203-DQ,Gezelschap aan boord van de S.S. 'Van Rensselaer',no-geo-details,,,,
RP-F-F01203-DR,"S.S. 'Nickerie', vermoedelijk in een Nederlandse haven",unresolved-only,Nederland,Nederland,unresolved,
RP-F-F01203-DS,Gezelschap aan boord van de S.S. 'Van Rensselaer',no-geo-details,,,,
RP-F-F01203-DT,Portret van een vrouw en een klein meisje,no-geo-details,,,,
RP-F-F01203-DU,Portret van een vrouw en een jong meisje,no-geo-details,,,,
RP-F-F01203-DV,Portret van een jongen en een meisje met een handdoek om de middel geslagen,no-geo-details,,,,
RP-F-F01203-DW,"Familieportret van man, vrouw, kinderen met kat",no-geo-details,,,,
RP-F-F01203-DY,Twee vrouwen bij een woonhuis,no-geo-details,,,,
RP-F-2009-221,"Stoelmanseiland, streekziekenhuis langs de Marowijne, 1977",thesaurus-no-coords,Stoelmanseiland,Stoelmanseiland,thesaurus,Suriname (Zuid-Amerika)
NG-2008-37-63,Gouvernementspaleis in Paramaribo,thesaurus-no-coords,Gouvernementspaleis,Gouvernementspaleis,thesaurus,Paramaribo (stad)
RP-F-2009-282,"Suriname 1895-1898, 'Souvenirs de Voyage'",no-geo-details,,,,
NG-2010-11,"Bij de onafhankelijkheid van Suriname wordt het standbeeld van koningin Wilhelmina verwijderd, 1975",thesaurus-no-coords,Onafhankelijkheidsplein,Onafhankelijkheidsplein,thesaurus,Paramaribo (stad)
NG-2010-36-1,Hof van Justitie in Suriname,no-geo-details,,,,
RP-F-2009-282-1,Jhr. Mr. T.A.J. van Asch van Wijck / Gouverneur van Suriname,no-geo-details,,,,
RP-F-2009-282-3,Het Gouvernementshuis,thesaurus-no-coords,Gouvernementspaleis,Gouvernementspaleis,thesaurus,Paramaribo (stad)
RP-F-2009-282-4,Het Gouvernementsplein,thesaurus-no-coords,Gouvernementsplein | Hof van Justitie | Administratie van Financiën | Gouvernementspaleis,Gouvernementsplein | Hof van Justitie | Administratie van Financiën | Gouvernementspaleis,thesaurus | thesaurus | thesaurus | thesaurus,Paramaribo (stad) | Paramaribo (stad) | Paramaribo (stad) | Paramaribo (stad)
RP-F-2009-282-13-2,Kerk der Herv. Gem.,thesaurus-no-coords,Hervormde Kerk (Paramaribo) | Kerkplein (Paramaribo),Hervormde Kerk (Paramaribo) | Kerkplein (Paramaribo),thesaurus | thesaurus,Paramaribo (stad) | Paramaribo (stad)
RP-F-2009-282-14,"HIndostaanse contractarbeiders, aan de Waterkant",thesaurus-no-coords,Waterkant,Waterkant,thesaurus,Paramaribo (stad)
RP-F-2009-282-20,De Heerenstraat,thesaurus-no-coords,Heerenstraat (Paramaribo),Heerenstraat (Paramaribo),thesaurus,Paramaribo (stad)
RP-F-2009-282-33-1,Hindostaanse contractarbeiders in het immigrantendepot,thesaurus-no-coords,Koeliedepot,Koeliedepot,thesaurus,Paramaribo (stad)
RP-F-2009-282-33-2,Hindostaanse contractarbeiders in het immigrantendepot,thesaurus-no-coords,Koeliedepot,Koeliedepot,thesaurus,Paramaribo (stad)
RP-F-2009-282-34-1,Hindostaanse vrouwen en kinderen in het immigrantendepot,thesaurus-no-coords,Koeliedepot,Koeliedepot,thesaurus,Paramaribo (stad)
RP-F-2009-282-34-2,Hindostaanse vrouwen en kinderen in het immigrantendepot,thesaurus-no-coords,Koeliedepot,Koeliedepot,thesaurus,Paramaribo (stad)
RP-F-2009-282-36-1,Javaanse vrouwen in het immigrantendepot,no-geo-details,,,,
RP-F-2009-282-36-2,De gammelang,no-geo-details,,,,
RP-F-2009-282-38-2,Woningen van voormalige Hindostaanse contractarbeiders in Combé,thesaurus-no-coords,Combé,Combé,thesaurus,Paramaribo (stad)
RP-F-2009-282-40,"Cacao-plantage ""Kwatta""",thesaurus-no-coords,Kwatta (plantage),Kwatta (plantage),thesaurus,Suriname (Zuid-Amerika)
RP-F-2009-282-41-1,"Plantage ""Kwatta"". Weg naar de gronden",thesaurus-no-coords,Kwatta (plantage),Kwatta (plantage),thesaurus,Suriname (Zuid-Amerika)
RP-F-2009-282-41-2,Woningen voor de contractarbeiders op Plantage Kwatta,thesaurus-no-coords,Kwatta (plantage),Kwatta (plantage),thesaurus,Suriname (Zuid-Amerika)
RP-F-2009-282-42-1,"Cacaoplantage ""De Maasstroom""",thesaurus-no-coords,Plantage Maasstroom,Plantage Maasstroom,thesaurus,Suriname (Zuid-Amerika)
RP-F-2009-282-42-2,In de gronden op Maasstroom,thesaurus-no-coords,Plantage Maasstroom,Plantage Maasstroom,thesaurus,Suriname (Zuid-Amerika)
RP-F-2009-282-44,"Op ""Mariënburg"" / Suikerfabriek der Ned. Handel Maatschappij",thesaurus-no-coords,Plantage Mariënburg,Plantage Mariënburg,thesaurus,Commewijne
RP-F-2009-282-45,"Suikerfabr. ""Mariënburg""",thesaurus-no-coords,Plantage Mariënburg,Plantage Mariënburg,thesaurus,Commewijne
RP-F-2009-282-46-1,"Suikerfabr. ""Mariënburg""",thesaurus-no-coords,Plantage Mariënburg,Plantage Mariënburg,thesaurus,Commewijne
RP-F-2009-282-46-2,School voor kinderen van de Hindostaanse contractarbeiders op plantage Mariënburg,thesaurus-no-coords,Plantage Mariënburg,Plantage Mariënburg,thesaurus,Commewijne
RP-F-2009-282-47,"Groep in de Dir. woning op ""Mariënburg"" (Mei '95)",thesaurus-no-coords,Plantage Mariënburg,Plantage Mariënburg,thesaurus,Commewijne
RP-F-2009-282-51,Groep op Chatillon v/h reisgezelschap op 14 Augs. '95,thesaurus-no-coords,Plantage Groot-Chatillon,Plantage Groot-Chatillon,thesaurus,Suriname (Zuid-Amerika)
RP-F-2009-282-52-1,Politiepost op Onoribo,thesaurus-no-coords,Onoribo,Onoribo,thesaurus,Para
RP-F-2009-282-52-2,Dorp Onoribo,thesaurus-no-coords,Onoribo,Onoribo,thesaurus,Para
RP-F-2009-282-53,Huldebetoon a/d Gouverneur op Onoribo (8 nov. '95),thesaurus-no-coords,Onoribo,Onoribo,thesaurus,Para
RP-F-2009-282-82-2,Drukte langs de Waterkant,thesaurus-no-coords,Waterkant,Waterkant,thesaurus,Paramaribo (stad)
RP-F-2009-282-83-3,Jhr. Mr. T.A.J. van Asch van Wijck / Gouverneur van Suriname,no-geo-details,,,,
NG-1994-32-15-1,"Gouvernementsplein, Muziek Woensdagmiddags 5 uur",thesaurus-no-coords,Gouvernementsplein,Gouvernementsplein,thesaurus,Paramaribo (stad)
NG-1994-32-15-2,Groote Combéweg,thesaurus-no-coords,Grote Combéweg,Grote Combéweg,thesaurus,Paramaribo (stad)
NG-1994-32-19-1,Kerkplein,thesaurus-no-coords,Kerkplein (Paramaribo),Kerkplein (Paramaribo),thesaurus,Paramaribo (stad)
NG-1994-32-14-1,Heiligenweg,thesaurus-no-coords,Heiligenweg,Heiligenweg,thesaurus,Paramaribo (stad)
NG-1994-32-14-2,Heiligenweg. Markt,thesaurus-no-coords,Heiligenweg,Heiligenweg,thesaurus,Paramaribo (stad)
NG-1994-32-22-1,Knuffelsgracht,thesaurus-no-coords,Knuffelsgracht,Knuffelsgracht,thesaurus,Paramaribo (stad)
NG-1994-32-22-2,Knuffelsgracht,thesaurus-no-coords,Knuffelsgracht,Knuffelsgracht,thesaurus,Paramaribo (stad)
NG-1994-32-21,In het Park,thesaurus-no-coords,Het Park,Het Park,thesaurus,Paramaribo (stad)
NG-1994-32-31,Buitensocieteit Het Park,thesaurus-no-coords,Het Park,Het Park,thesaurus,Paramaribo (stad)
NG-1994-32-26,Gouvernementsplein,thesaurus-no-coords,Gouvernementsplein,Gouvernementsplein,thesaurus,Paramaribo (stad)
NG-2009-126-10,Maria Gonggrijp met vriendinnen op Morgenstond,thesaurus-no-coords,Plantage Morgenstond,Plantage Morgenstond,thesaurus,Paramaribo (district)
NG-2009-126-11,Groepsportret op Morgenstond,thesaurus-no-coords,Plantage Morgenstond,Plantage Morgenstond,thesaurus,Paramaribo (district)
NG-2009-126-12-2,Maria Gonggrijp op Clevia,thesaurus-no-coords,Plantage Clevia,Plantage Clevia,thesaurus,Suriname (Zuid-Amerika)
NG-2009-126-13,Groepsfoto op Morgenstond,thesaurus-no-coords,Plantage Morgenstond,Plantage Morgenstond,thesaurus,Paramaribo (district)
RP-F-BR-2011-1-1,"Portret van twee jonge mannen, Suriname",thesaurus-no-coords,Frimangron,Frimangron,thesaurus,Paramaribo (stad)
RP-F-BR-2011-1-2,"Portret van twee jonge mannen, Suriname",thesaurus-no-coords,Frimangron,Frimangron,thesaurus,Paramaribo (stad)
RP-F-BR-2011-1-12,Uitbetaling van de AOW en kinderbijslag te Mariënburg vlak voor de verkiezingen van 1973,thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-BR-2011-1-13,Vrouwen staan in de rij voor de uitbetaling van de AOW en kinderbijslag te Mariënburg vlak voor de verkiezingen van 1973,thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-BR-2011-1-14,In de rij voor uitbetaling van de AOW en kinderbijslag te Mariënburg vlak voor de verkiezingen van 1973,thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-BR-2011-1-91,Stoelmanseiland,thesaurus-no-coords,Stoelmanseiland,Stoelmanseiland,thesaurus,Suriname (Zuid-Amerika)
RP-F-BR-2011-1-93,Drie toeristen bij Stoelmanseiland,thesaurus-no-coords,Stoelmanseiland,Stoelmanseiland,thesaurus,Suriname (Zuid-Amerika)
RP-F-BR-2011-1-94,Drie toeristen bij Stoelmanseiland,thesaurus-no-coords,Stoelmanseiland,Stoelmanseiland,thesaurus,Suriname (Zuid-Amerika)
RP-F-BR-2011-1-96,Het streekziekenhuis van Stoelmanseiland,thesaurus-no-coords,Stoelmanseiland,Stoelmanseiland,thesaurus,Suriname (Zuid-Amerika)
RP-F-BR-2011-1-147,Rietkappers van Mariënburg,thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-BR-2011-1-154,Marronschool in Klaaskreek,thesaurus-no-coords,Klaaskreek,Klaaskreek,thesaurus,Suriname (Zuid-Amerika)
RP-F-BR-2011-1-155,Marronschool in Klaaskreek,thesaurus-no-coords,Klaaskreek,Klaaskreek,thesaurus,Suriname (Zuid-Amerika)
RP-F-BR-2011-1-156,Brownsweg met de Bruynseel-woningen,thesaurus-no-coords,Brownsweg,Brownsweg,thesaurus,Suriname (Zuid-Amerika)
RP-F-BR-2011-1-157,Er zijn plannen om de Marrons in een aantal stedelijke kernen te concentreren; transmigratiedorp Brownsweg,thesaurus-no-coords,Brownsweg,Brownsweg,thesaurus,Suriname (Zuid-Amerika)
RP-F-BR-2011-1-172,Javaanse barak te Mariënburg,thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-BR-2011-1-175,Man met pet in het ouden van dagen tehuis in Mariënburg,thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-BR-2011-1-176,Ouden van dagen tehuis te Mariënburg,thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-BR-2011-1-177,Vrouwen op zaal in het ouden van dagen tehuis te Mariënburg,thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-BR-2011-1-178,Woningen te Mariënburg gebouwd in de dagen van de eerste contractarbeiders,thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-BR-2011-1-187,Aluminiumfabriek van Suralco te Paranam,thesaurus-no-coords,Paranam,Paranam,thesaurus,Suriname (Zuid-Amerika)
RP-F-BR-2011-1-222,Medewerkers van Suralco,thesaurus-no-coords,Paranam,Paranam,thesaurus,Suriname (Zuid-Amerika)
RP-F-BR-2011-1-229,Vrouwen in de rij voor uitbetaling van de AOW en kinderbijslag door een man te Mariënburg vlak voor de verkiezingen van 1973,thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-BR-2011-1-230,"Uitbetaling van de AOW en kinderbijslag te Mariënburg vlak voor de verkiezingen van 1973, een man met bril houdt een papier omhoog",thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-2009-258,Vier maanden in Suriname,no-geo-details,,,,
RP-F-2011-75-85,"Mariënburg, Suriname",thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-2011-75-86,"Bejaardenhuis Mariënburg, old people's home, Suriname",thesaurus-no-coords,Mariënburg (Suriname),Mariënburg (Suriname),thesaurus,Commewijne
RP-F-2013-73-36,Demonstratie bij de Dokwerker voor onafhankelijkheid van Suriname,unresolved-only,Jonas Daniël Meijerplein,Jonas Daniël Meijerplein,unresolved,
RP-F-2013-91-1,Sleep,thesaurus-no-coords,Pikin Slee,Pikin Slee,thesaurus,Boven-Suriname
NG-2013-22-4-1,Plantagegeld (10 cent) uitgegeven door de suikerplantage Mariënburg,thesaurus-no-coords,Plantage Mariënburg,Plantage Mariënburg,thesaurus,Commewijne
NG-2013-22-23,Waterkant van Paramaribo kort na de brand van 1821,thesaurus-no-coords,Waterkant,Waterkant,thesaurus,Paramaribo (stad)
