value,category,source_type,occurrences,suggested_action,latitude,longitude,sample_objectnummers,notes
Q110189257,other-location,ef_review_locatie,2,wikidata-resolve-naar-coordinaten,,,NG-1994-65-1-44-3 | NG-1994-65-1-43-2,
Q111845502,other-location,ef_review_locatie,2,wikidata-resolve-naar-coordinaten,,,RP-F-BR-2011-1-79 | RP-F-BR-2011-1-77,
Q124832148,other-location,ef_review_locatie,2,wikidata-resolve-naar-coordinaten,,,NG-1994-65-4-40-1 | NG-1994-65-4-39-1,
Q13457818,other-location,ef_review_locatie,2,wikidata-resolve-naar-coordinaten,,,RP-T-1994-166 | RP-T-1994-167,
Q2220000,other-location,ef_review_locatie,2,wikidata-resolve-naar-coordinaten,,,RP-F-F01203-V | RP-F-F00938-16,
Q23960241,other-location,ef_review_locatie,2,wikidata-resolve-naar-coordinaten,,,NG-2009-132-21 | NG-2009-132-22,
Q2418540,other-location,ef_review_locatie,2,wikidata-resolve-naar-coordinaten,,,RP-F-BR-2011-1-116 | RP-F-BR-2011-1-117,
Q4334911,other-location,ef_review_locatie,2,wikidata-resolve-naar-coordinaten,,,RP-F-1994-16-18 | NG-2016-50-21,
Q648787,other-location,ef_review_locatie,2,wikidata-resolve-naar-coordinaten,,,RP-P-1909-1779 | RP-P-1909-1780,
Q908006,other-location,ef_review_locatie,2,wikidata-resolve-naar-coordinaten,,,NG-2015-4-1-58 | RP-F-BR-2011-1-15,
stm-new-1776701050288,other-location,ef_review_locatie,2,vervang-met-definitieve-stm-id,,,RP-F-2009-282-62-2 | RP-F-2009-282-63,
Veldlust,other-location,remark-hint,2,zoek-match-op-naam-in-stm-of-wikidata,,,RP-F-F01203-CQ | RP-F-F01203-DF,
waterstraat,street,remark-hint,2,zoek-match-op-naam-in-stm-of-wikidata,,,NG-1994-65-2-42-1 | NG-1994-65-2-41-1,
Afobaka,other-location,ef_review_locatie,1,handmatige-match-op-naam,,,RP-F-BR-2011-1-152,
airport pengel,other-location,ef_review_locatie,1,handmatige-match-op-naam,,,NG-2011-18-28-29,
Asidonopo,other-location,ef_review_locatie,1,handmatige-match-op-naam,,,NG-2011-18-28-93,
Asidonopo ; Lantiwe,other-location,ef_review_locatie,1,opsplitsen-naar-enkele-locatie,,,NG-2011-18-28-75,
Bigistone,other-location,remark-hint,1,zoek-match-op-naam-in-stm-of-wikidata,,,NG-2017-92,
gasfabriek,other-location,remark-hint,1,zoek-match-op-naam-in-stm-of-wikidata,,,NG-2016-50-24,
Maboegoesoedal,other-location,remark-hint,1,zoek-match-op-naam-in-stm-of-wikidata,,,NG-1994-65-1-11-2,
Paramaribo,other-location,ef_review_locatie,1,beslis-brede-locatie-punt-of-toggle,,,NG-2008-37-43,
placer Koolhoven,other-location,remark-hint,1,zoek-match-op-naam-in-stm-of-wikidata,,,NG-2009-131-23,
Post Mindrineti,other-location,ef_review_locatie,1,handmatige-match-op-naam,,,NG-2016-50-32,
Q1090505,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-2009-94-36-3,
Q111880947,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-2011-18-1-23,
Q1131396,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-2011-18-28-28,
Q135087732,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-2009-132-20,
Q15873942,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-2009-130-34,
Q1757533,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,RP-F-BR-2011-1-47,
Q1877905,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-2011-18-28-51,
Q2458576,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,RP-F-F00938-8,
Q56537564,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,RP-P-OB-206.201,
Q56707270,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-2022-1-2-2233,
Q57340919,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,RP-F-BR-2011-1-197,
Q57340919 ;  Q107435482,other-location,ef_review_locatie,1,opsplitsen-naar-enkele-locatie,,,RP-F-BR-2011-1-196,
Q59115340 ; Q24224,other-location,ef_review_locatie,1,opsplitsen-naar-enkele-locatie,,,NG-2011-18-28-20,
Q59115735,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-2009-37-25,
Q59116958,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,RP-P-2018-3149,
Q59133831,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-2010-133,
Q59134182,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-1983-1,
Q74209503,other-location,ef_review_locatie,1,wikidata-resolve-naar-coordinaten,,,NG-2011-18-28-42,
