item;itemLabel;coords
Q107435480;Saramaccastraat;Point(-55.1619971 5.8223672)
Q107435482;Dr. Sophie Redmondstraat;Point(-55.172447781 5.830579157)
Q110189257;Klipstenenstraat;Point(-55.1568401 5.8283745)
Q110189317;Tourtonnelaan;Point(-55.151118 5.8396694)
Q110559886;koeliedepot;Point(-55.147971268 5.827871863)
Q111845502;Langamankondre;Point(-54.015555555 5.702222222)
Q111880947;Torarica Resort;Point(-55.14705 5.82824)
Q113616660;Staatslogeergebouw te Totness;5.882277526273546, -56.33476086564936
Q115941560;CombÃ©;Point(-55.147222222 5.831388888)
Q116051425;Vaillantsplein;Point(-55.157361111 5.826805555)
Q124832148;Waterloo;Point(-56.972878306 5.914768863)
Q135087732;GÃ©gÃ©;Point(-54.966666666 4.7)
Q139323507;MaÃ¤bo hill;Point(-55.343391388 5.236048351)
Q139391841;'s-Landsgrond Boniface;Point(-55.171691012 5.822610181)
Q55;Nederland;Point(5.55 52.316666666)
Q727;Amsterdam;Point(4.883333333 52.366666666)
Q730;Suriname;Point(-56.0 4.0)
Q730;Suriname;Point(-56.0 4.0)
Q730;Suriname;Point(-56.0 4.0)
Q730;Suriname;Point(-56.0 4.0)
Q3001;Paramaribo;Point(-55.166666666 5.866666666)
Q3001;Paramaribo;Point(-55.166666666 5.866666666)
Q3001;Paramaribo;Point(-55.166666666 5.866666666)
Q3001;Paramaribo;Point(-55.166666666 5.866666666)
Q183494;Johan Adolf Pengel International Airport;Point(-55.187783333 5.452830555)
Q252827;Djoemoe;Point(-55.472222222 4.013888888)
Q263954;Afobaka;Point(-55.0 4.98333333)
Q2247115;Asidonhopo;Point(-55.469722222 4.001388888)
Q2247115;Asidonhopo;Point(-55.469722222 4.001388888)
Q2247115;Asidonhopo;Point(-55.469722222 4.001388888)
Q2247115;Asidonhopo;Point(-55.469722222 4.001388888)
Q18345148;Lantiwee;Point(-54.412222222 5.79)
Q56450947;Johan Adolf Pengelstraat;Point(-55.171688888 5.824044444)
Q57341470;Kleine Waterstraat;Point(-55.1480576 5.8278522)
