prioriteit,probleem_bucket,term,occurrences,sample_objectnummers,suggested_action
39,thesaurus-no-coords,Bigi Poika,1,NG-2011-18-28-71,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
40,thesaurus-no-coords,Blaka Watra,1,NG-2022-1-2-2220,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
41,thesaurus-no-coords,Combé,1,RP-F-2009-282-38-2,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
42,thesaurus-no-coords,Cultuurtuin,1,NG-2009-124-18-3,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
43,thesaurus-no-coords,Daome,1,NG-2016-53-29,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
44,thesaurus-no-coords,Groot-Marseille,1,NG-2022-1-10-21,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
45,thesaurus-no-coords,Hervormde Kerk (Paramaribo),1,RP-F-2009-282-13-2,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
46,thesaurus-no-coords,Jodenbreestraat (Paramaribo),1,RP-F-2009-223,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
47,thesaurus-no-coords,Kerkplein (Paramaribo),1,NG-1994-32-19-1,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
48,thesaurus-no-coords,Kwakoegron,1,RP-F-F01203-I,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
49,thesaurus-no-coords,Langatabbetje,1,NG-2022-1-12-2,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
50,thesaurus-no-coords,Maagdenstraat,1,NG-2022-1-2-2237,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
51,thesaurus-no-coords,Maarten Lutherkerk (Paramaribo),1,NG-2025-20-12,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
52,thesaurus-no-coords,Meerzorg,1,NG-2022-1-12-23,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
53,thesaurus-no-coords,Palmentuin,1,NG-2015-4-6,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
54,thesaurus-no-coords,Para,1,NG-2015-4-10,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
55,thesaurus-no-coords,Pierrekondre,1,NG-2022-1-11-11,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
56,thesaurus-no-coords,Plantage Clevia,1,NG-2009-126-12-2,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
57,thesaurus-no-coords,Plantage Groot-Chatillon,1,RP-F-2009-282-51,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
58,thesaurus-no-coords,Presidentieel Paleis,1,NG-2025-20-4,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
59,thesaurus-no-coords,Rosakerk,1,NG-2011-18-28-15,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
60,thesaurus-no-coords,Sarakreek,1,NG-2022-1-2-2266,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
61,thesaurus-no-coords,Saramaccastraat,1,NG-2025-20-11,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
62,thesaurus-no-coords,Slootwijk,1,NG-2011-18-28-62,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
63,thesaurus-no-coords,Synagoge Neve Shalom,1,NG-2025-20-15,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
64,thesaurus-no-coords,Zanderij,1,RP-F-00-11994-05,"Koppel coordinaten aan thesaurusterm (Wikidata/STM), daarna rerun import/report"
65,no-geo-details,(geen term),118,BI-2024-2536-1 | KOG-MP-1-5293 | KOG-MP-1-5294 | KOG-MP-1-5294A | KOG-MP-1-5295,"Voeg minimaal Suriname of Paramaribo toe, of markeer expliciet als locatie-onbekend"
66,unresolved-only,Zwitserland,20,NG-2009-124-1-1 | NG-2009-124-1-2 | NG-2009-124-1-4 | NG-2009-124-2-1 | NG-2009-124-2-2,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
67,unresolved-only,Nederland,6,NG-1035-A | NG-2005-19 | RP-F-F01203-BX | RP-F-F01203-CL | RP-F-F01203-DR,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
68,unresolved-only,Bijlmer,4,NG-2011-18-28-25 | RP-F-2019-298-43-100 | RP-F-2019-298-43-101 | RP-F-2019-298-43-97,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
69,unresolved-only,Madeira,4,RP-F-F01203-BN | RP-F-F01203-BO | RP-F-F01203-BP | RP-F-F01203-CS,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
70,unresolved-only,Slotervaart,4,KOG-AA-2-31-823 | KOG-AA-2-31-824 | KOG-AA-2-31-825 | KOG-AA-2-31-826,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
71,unresolved-only,Wijk aan Zee,4,RP-F-F01203-DB | RP-F-F01203-DC | RP-F-F01203-DD | RP-F-F01203-DE,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
72,unresolved-only,Amersfoort,3,RP-F-F01203-BH | RP-F-F01203-BI | RP-F-F01203-BL,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
73,unresolved-only,Buitenzorg (West-Java),3,RP-F-F01203-AJ | RP-F-F01203-AL | RP-F-F01203-AM,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
74,unresolved-only,Medan,3,RP-F-F01203-AQ | RP-F-F01203-AR | RP-F-F01203-AS,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
75,unresolved-only,Nederlands-Indië,3,RP-F-F01203-AI | RP-F-F01203-AT | RP-F-F01203-AU,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
76,unresolved-only,Jonas Daniël Meijerplein,2,RP-F-2013-73-36 | RP-F-2019-267-3,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
77,unresolved-only,Lembang,2,RP-F-F01203-AN | RP-F-F01203-AP,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
78,unresolved-only,Montreux,2,NG-2009-124-1-3 | NG-2009-124-8-2,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
79,unresolved-only,'s Lands Plantentuin,1,RP-F-F01203-AH,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
80,unresolved-only,Aalsmeer,1,RP-F-F01203-BS,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
81,unresolved-only,Berlijn,1,RP-F-F01203-DI,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
82,unresolved-only,Eiffeltoren,1,RP-F-F01203-BT,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
83,unresolved-only,Ferdinand Bolstraat,1,RP-F-2019-298-43-92,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
84,unresolved-only,Funchal,1,RP-F-F01203-CT,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
85,unresolved-only,Ghana,1,RP-P-2018-3145,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
86,unresolved-only,Kostverlorenvaart,1,KOG-AA-2-30-758,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
87,unresolved-only,Meiringen,1,NG-2009-124-3-2,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
88,unresolved-only,Montevideo,1,RP-F-F01204-47-1,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
89,unresolved-only,Paleis van de Gouverneur-Generaal,1,RP-F-F01203-AK,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
90,unresolved-only,San Marcoplein,1,RP-F-F01203-BQ,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
91,unresolved-only,Sankt Moritz,1,RP-F-F01203-DJ,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
92,unresolved-only,Surinameplein,1,KOG-AA-2-30-810R,Los unresolved term op via STM/Wikidata mapping en vervang unresolved
