objectnummer,titel,map_ready_termen,regio
NG-2013-22-24-19-3,Gezelschap van vijftien mensen aan boord van een schip,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-19-4,Groep Surinamers op het dek van een schip,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-20-1,Vier mannen staand bij de mast van een schip,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-20-2,"Groep Surinamers (?) staand tussen twee vlaggen, gezien vanaf het water",Suriname (Zuid-Amerika),suriname
NG-2013-22-24-21-1,Hutten en hun Surinaamse bewoners; rechts nog net een Westers geklede vrouw te zien,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-21-2,Een Westers gekleed echtpaar bekijkt een Surinaamse hut,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-21-3,Een Westers geklede man gearmd met een Surinaamse vrouw in Kotomisi,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-22-1,Park met wandelaars in Paramaribo (?),Paramaribo (stad),suriname
NG-2013-22-24-22-2,Hoogwaardigheidsbekleders steken een veld over dat is omzoomd met soldaten die in de houding staan; op de achtergrond huizen en palmbomen,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-23-1,Kust van Paramaribo,Paramaribo (stad),suriname
NG-2013-22-24-23-2,Surinamers aan dek van een schip,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-23-3,Kustlijn van Paramaribo,Paramaribo (stad),suriname
NG-2013-22-24-23-4,Kustlijn van Paramaribo (?),Paramaribo (stad),suriname
NG-2013-22-24-24-1,Kustlijn van Paramaribo gezien vanaf het water,Paramaribo (stad),suriname
NG-2013-22-24-24-2,Passagiersschip,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-24-3,Wit passagiersschip,Suriname (Zuid-Amerika),suriname
NG-2013-22-24-24-4,Schepen voor de kust van Paramaribo (?),Paramaribo (stad),suriname
NG-2015-4-2,Granman Adray Vroomhart en zijn zoon Samuel,Suriname (Zuid-Amerika),suriname
NG-2015-4-5,"Groep boerenkolonisten in Suriname, waarschijnlijk de familie Taminga",Suriname (Zuid-Amerika),suriname
NG-2015-4-7,Blootleggen van kwartsriffen,Suriname (Zuid-Amerika),suriname
NG-2015-4-14,Groep Marrons,Suriname (Zuid-Amerika),suriname
NG-2015-4-15,"Nederduitsche Samenspraken voor de Zendings-scholen in Suriname, Paramaribo 1889",Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2015-4-16,"Aantekeningen mbt vertaling dagen van de week/namen en twee verhalen van Ananasi, handschrift Van Rijn",Suriname (Zuid-Amerika),suriname
NG-2015-4-17,Maandelijks Tijdschrift Makzien Vo Kristen-Soema Zieli jaargang 1900 (nr. 1 t/m 12 en index voor 1900) en 1901 (nr. 1),Suriname (Zuid-Amerika),suriname
NG-2015-4-18,"Statuten der Vereeniging tot oprichting van een ‘Militair te Huis’ te Paramaribo, 1896",Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
RP-F-F00938-8,Exterieur van de Chinese Sociëteit in Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
RP-F-F00938-9,Straat met een postkantoor in Groote Combé te Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
RP-F-F00938-10,Exterieur van de Hoogduitse Israëlitische synagoge in Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
RP-F-F00938-11,Steenbakkerijstraat in Paramaribo met palmen en voorbijgangers,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
RP-F-F00938-12,Gezicht op de Saramaccastraat met brug en kerk,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
RP-F-F00938-13,Maagdenstraat in Paramaribo met bomen en voorbijgangers,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
