objectnummer,titel,map_ready_termen,regio
NG-2022-1-10-9,Waterlelies in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-10,Gezicht op een oever in de jungle van Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-11,Gezicht op een veld met bloeiende agaven in vermoedelijk Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-12,Gezicht op een landschap met runderen in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-13,Krokodillen op en om een houten plank in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-14,Zeeschildpad in het water bij Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-15,Portret van een onbekende vrouw die een koto draagt in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-16,Man met pijl en boog op de rand van een korjaal in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-17,"Straatgezicht met onbekende mannen en vrouwen, vermoedelijk in Paramaribo, Suriname",Paramaribo (stad),suriname
NG-2022-1-10-18,Gezicht op een huis in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-22,Fotoreproductie van een prent met Slavenmarkt in Suriname door Jean Baptiste Madou,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-23,Fotoreproductie van een prent met tot slaaf gemaakten en een slavenhouder op weg naar een plantage in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-25,Gezicht op een bananenplantage in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-10-26,Kist met bakbananen in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-11-3,Gezicht vanuit de lucht op rivieren in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-11-4,Gezicht op de savanne in vermoedelijk Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-11-6,"Straatgezicht met houten karren in Paramaribo, Suriname",Paramaribo (stad),suriname
NG-2022-1-11-7,"Gezicht op de groentemarkt in Paramaribo, Suriname",Paramaribo (stad),suriname
NG-2022-1-11-8,"Portret van een meisje in Paramaribo, Suriname",Paramaribo (stad),suriname
NG-2022-1-11-10,Portret van een meisje in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-11-12,"Gezicht op een kleuterklas op de Oranjeschool in Paramaribo, Suriname",Paramaribo (stad),suriname
NG-2022-1-11-14,Fotoreproductie van een groepsportret met Javaansche contractanten aan boord van de Prins Willem II door Gerard Martinus Versteeg,Suriname (Zuid-Amerika),suriname
NG-2022-1-11-16,Fotoreproductie van een foto met een vrouw die koffiebonen plukt in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-11-28,Gezicht op een schip op een rivier in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-12-3,Gezicht op een huis in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-12-4,Gezicht op een groep mensen temidden van een jungle in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-12-5,Landmeter in de jungle van Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-12-6,Gezicht op een korjaal die door een rivier met rotsen wordt verplaatst in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-12-7,Fotoreproductie van een man die op anjoemara vist in Suriname door Gerard Martinus Versteeg,Suriname (Zuid-Amerika),suriname
NG-2022-1-12-9,"Willem van de Poll geeft aan twee mannen een vuurtje bij de Marowijnerivier, Suriname",Suriname (Zuid-Amerika),suriname
NG-2022-1-12-10,Gezicht op een huis met twee kinderen in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-12-11,Groep jongens die op trommels spelen in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-12-13,"Gezicht op een smalle straat met houten huizen in vermoedelijk Paramaribo, Suriname",Paramaribo (stad),suriname
NG-2022-1-12-14,Jongeman die een gloeilamp vasthoudt in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-12-15,Twee mensen die een boomstam uithollen tot een korjaal in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-12-24,Gezicht op het Prinses Juliana Zendingshospitaal te Kabel in Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-12-26,"Professor Stahel in de cacaokwekerij in de Cultuurtuin in Paramaribo, Suriname",Paramaribo (stad),suriname
NG-2022-1-12-27,Gezicht op de bouw van een spoorbrug in vermoedelijk Suriname,Suriname (Zuid-Amerika),suriname
NG-2022-1-14-2,"Aankomst van het passagiersschip SS 'Stuyvesant' van de Koninklijke Nederlandsche Stoomboot Maatschappij in de haven van Paramaribo, Suriname",Paramaribo (stad),suriname
NG-2025-20-5,Schepen voor de rede van Paramaribo,Paramaribo (stad),suriname
