objectnummer,titel,geografisch_trefwoord,qid
RP-F-F01203-CT,"Mannen op een schoenenmarkt te Funchal op Madeira$Madeira, Funchal-Mercado de botas$Schoenen markt te Madeira",Funchal,
RP-F-F01203-CU,"Gezicht op treinstel, station en publiek op het Vaillantsplein in Paramaribo bij de opening van de Lawaspoorweg (Landsspoorweg) op 28 maart 1905$de eerste rit van den trein",Vaillantsplein,
RP-F-F01203-CV,"Erepoort in de Saramaccastraat te Paramaribo, opgericht ter gelegenheid van de opening van de Lawaspoorlijn (Landsspoorweg) op 28 maart 1905$door de Saramaccastraat",Paramaribo (stad),
RP-F-F01203-CW,Portret van een onbekende man,,
RP-F-F01203-CX,"Erepoort in Paramaribo, opgericht ter gelegenheid van de opening van de Lawaspoorlijn (Landsspoorweg) op 28 maart 1905$eerste rit van den trein",Paramaribo (stad),
RP-F-F01203-CY,Gezicht op treinstel en publiek op het Vaillantsplein in Paramaribo bij de opening van de Lawaspoorweg (Landsspoorweg) op 28 maart 1905$Vaillantsplein,Vaillantsplein,
RP-F-F01203-CZ,Gezicht op de Waterkant in Paramaribo langs het traject van de Lawaspoorweg (Landsspoorweg)$de trein langs den Waterkant,Waterkant,
RP-F-F01203-DA,Paard en wagen en wandelende Surinamers op een laan met kokospalmen te Coronie$Laan met kokospalmen te Coronie,Coronie,
RP-F-F01203-DB,Drie vrouwen op het terras van het Badhotel in Wijk aan Zee$Op een heerlijke zomerdag te Wijk-aan-Zee,Wijk aan Zee,
RP-F-F01203-DC,"Twee vrouwen in zee, vermoedelijk bij Wijk aan Zee",Wijk aan Zee,
RP-F-F01203-DD,Drie vrouwen poserend bij een auto in Wijk aan Zee$Wijk-aan-Zee 14 Juli '24,Wijk aan Zee,
RP-F-F01203-DE,Drie vrouwen op het terras van het Badhotel in Wijk aan Zee$Op 't terras van het Bad-Hôtel,Wijk aan Zee,
RP-F-F01203-DF,"Gezelschap met drie kinderen in een tuin, mogelijk op buitenplaats 'Veldlust' in Suriname$Op Veldlust",Suriname (Zuid-Amerika),
RP-F-F01203-DG,"Groepsportret van jonge vrouwen in een tekenschool, vermoedelijk in Nederland$Op de teekenschool bij mej. (...)",,
RP-F-F01203-DH,"Portret van een onbekende vrouw, zittend aan een bureau, mogelijk in Suriname",Suriname (Zuid-Amerika),
RP-F-F01203-DI,Gezelschap waaronder leden van de familie Terlaak in een open bus in Berlijn$de Terlaak's in Berlijn 1923,Berlijn,
RP-F-F01203-DJ,Gezelschap waaronder leden van de familie Ottenhof achter een paardenslee in Sankt Moritz$de Ottenhof's in St. Moritz 1921,Sankt Moritz,
RP-F-F01203-DK,Europese vrouw poserend bij een trap in Indiase kleding$Europese vrouw poserend bij een trap in oosters gewaad$in Britsch-Indisch costuum,,
RP-F-F01203-DL,"Portret van een Europese vrouw in koto, staand naast een piëdestal in Paramaribo$Als ""Kotto-missie"", Paramaribo 1909",Paramaribo (stad),
RP-F-F01203-DM,"Vrouw met kat in haar armen, mogelijk in Paramaribo (uitgeknipt)",,
RP-F-F01203-DN,Europese vrouw gekleed als geisha$als Geisha,,
