objectnummer,titel,geografisch_trefwoord,qid
NG-1994-65-4-47-4,Keuken op Patrick-savanna,Suriname (Zuid-Amerika)$Patrick Savanna,
NG-1994-65-4-48-1,Gouverneurskamp in verval,Suriname (Zuid-Amerika),
NG-1994-65-4-48-2,Gouverneurskamp in verval,Suriname (Zuid-Amerika),
NG-1994-65-4-48-3,Op 's Landsgrond Boniface,Suriname (Zuid-Amerika)$Paramaribo (stad)$'s-Landsgrond Boniface,
NG-1994-65-4-48-4,Keuken op Patrick-savanna,Suriname (Zuid-Amerika)$Patrick Savanna,
NG-1994-65-4-49-1,Jongen met haan,Suriname (Zuid-Amerika)$Plantage Ma Retraite,
NG-1994-65-4-49-2,Familieportret,Suriname (Zuid-Amerika)$Plantage Ma Retraite,
NG-1994-65-4-49-3,Bouw van een brug,Suriname (Zuid-Amerika),
NG-1994-65-4-50-1,Sommeldijksche straat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Sommelsdijkse straat,
NG-1994-65-4-50-2,Aan het einde van den Grooten Combéweg,Suriname (Zuid-Amerika)$Grote Combéweg,
NG-1994-65-4-50-3,Staande jonge vrouw,Suriname (Zuid-Amerika)$Plantage Ma Retraite,
NG-1994-65-4-50-4,Bouw van een brug,Suriname (Zuid-Amerika),
NG-1994-65-5-1-1,Badhuis bij Gouverneurskamp,Suriname (Zuid-Amerika),
NG-1994-65-5-1-2,"Brownsweg op Patrick-savanna, met termietennest",Suriname (Zuid-Amerika)$Patrick Savanna,
NG-1994-65-5-1-3,"Hof van Justitie en Administratie van Financiën, Paramaribo",Suriname (Zuid-Amerika)$Paramaribo (stad)$Gouvernementsplein$Hof van Justitie$Administratie van Financiën,
NG-1994-65-5-1-4,Buitenwijk te Paramaribo,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-1-5,In de Combé,Suriname (Zuid-Amerika)$Paramaribo (stad)$Combé,
NG-1994-65-5-1-6,Straat met houten huizen,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-2-1,Ons huis in de Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat$Plantage Ma Retraite,
NG-1994-65-5-2-2,Sabakoe,Suriname (Zuid-Amerika)$Sabakoe,
NG-1994-65-5-2-3,Toegang Cultuurtuin,Suriname (Zuid-Amerika)$Paramaribo (stad)$Cultuurtuin,
NG-1994-65-5-2-4,Palmen,Suriname (Zuid-Amerika)$Palmentuin,
NG-1994-65-5-2-5,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-2-6,Hospitaaltuin,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-4-1,Ons huis in de Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat$Plantage Ma Retraite,
NG-1994-65-5-4-2,Speciemengen bij mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-4-3,Klipsteenstraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Klipsteenstraat,
NG-1994-65-5-4-4,Wagenwegstraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Wagenwegstraat,
NG-1994-65-5-3-1,Ons huis in de Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat$Plantage Ma Retraite,
NG-1994-65-5-3-2,Speciemengen bij mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-3-3,Klipsteenstraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Klipsteenstraat,
NG-1994-65-5-3-4,Wagenwegstraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Wagenwegstraat,
NG-1994-65-5-6-1,Interieur Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat$Plantage Ma Retraite,
NG-1994-65-5-6-2,Palmentuin,Suriname (Zuid-Amerika)$Paramaribo (stad)$Palmentuin,
NG-1994-65-5-6-3,Kerkhof Kwattaweg,Suriname (Zuid-Amerika)$Paramaribo (stad)$Kwattaweg,
NG-1994-65-5-6-4,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-5-1,Interieur Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat$Plantage Ma Retraite,
NG-1994-65-5-5-2,Palmentuin,Suriname (Zuid-Amerika)$Paramaribo (stad)$Palmentuin,
NG-1994-65-5-5-3,Kerkhof Kwattaweg,Suriname (Zuid-Amerika)$Paramaribo (stad)$Kwattaweg,
NG-1994-65-5-5-4,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-8-1,"Vervallen kwartsmolen, de Jong",Suriname (Zuid-Amerika),
NG-1994-65-5-8-2,Sabakoe,Suriname (Zuid-Amerika)$Sabakoe,
NG-1994-65-5-8-3,Palmentuin,Suriname (Zuid-Amerika)$Paramaribo (stad)$Palmentuin,
NG-1994-65-5-8-4,Palmentuin,Suriname (Zuid-Amerika)$Paramaribo (stad)$Palmentuin,
NG-1994-65-5-7-1,"Vervallen kwartsmolen, de Jong",Suriname (Zuid-Amerika),
NG-1994-65-5-7-2,Sabakoe,Suriname (Zuid-Amerika)$Sabakoe,
NG-1994-65-5-7-3,Palmentuin,Suriname (Zuid-Amerika)$Paramaribo (stad)$Palmentuin,
NG-1994-65-5-7-4,Palmentuin,Suriname (Zuid-Amerika)$Paramaribo (stad)$Palmentuin,
NG-1994-65-5-10-1,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-10-2,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-10-3,Immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad)$Koeliedepot,
NG-1994-65-5-10-4,Toegang Cultuurtuin,Suriname (Zuid-Amerika)$Paramaribo (stad)$Cultuurtuin,
NG-1994-65-5-9-1,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-9-2,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-9-3,Immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad)$Koeliedepot,
NG-1994-65-5-9-4,Toegang Cultuurtuin,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-12-1,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-12-2,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-12-3,Interieur Oranjestraat,Suriname (Zuid-Amerika)$Plantage Ma Retraite$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-12-4,Immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad)$Koeliedepot,
NG-1994-65-5-11-1,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-11-2,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-11-3,Interieur Oranjestraat,Suriname (Zuid-Amerika)$Plantage Ma Retraite$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-11-4,Immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad)$Koeliedepot,
NG-1994-65-5-14-1,Rokende vrouwen in het immigrantendepot$Rookende koelievrouwen in depôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-14-2,Hindostaanse contractarbeiders in het immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-14-3,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-14-4,'s Landsgrond Boniface,Suriname (Zuid-Amerika)$Paramaribo (stad)$'s-Landsgrond Boniface,
NG-1994-65-5-13-1,Rokende vrouwen in het immigrantendepot$Rookende koelievrouwen in depôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-13-2,Immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad)$Koeliedepot,
NG-1994-65-5-13-3,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-13-4,'s Landsgrond Boniface,Suriname (Zuid-Amerika)$Paramaribo (stad)$'s-Landsgrond Boniface,
NG-1994-65-5-16-1,In den tuin van het hospitaal,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-16-2,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-16-3,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-16-4,Javanen,Suriname (Zuid-Amerika),
NG-1994-65-5-15-1,In den tuin van het hospitaal,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-15-2,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-15-3,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-15-4,Javanen,Suriname (Zuid-Amerika),
NG-1994-65-5-18-1,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-18-2,Waterhalen voor gieten hospitaalreservoir,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-18-3,Hindostaanse contractarbeiders in het immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-18-4,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-17-1,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-17-2,Waterhalen voor gieten hospitaalreservoir,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-17-3,Hindostaanse contractarbeiders in het immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-17-4,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-20-1,Gouvernementsplein,Suriname (Zuid-Amerika)$Paramaribo (stad)$Gouvernementsplein,
NG-1994-65-5-20-2,Hospitaaltuin,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-20-3,Patrick-savanna,Suriname (Zuid-Amerika)$Patrick Savanna,
NG-1994-65-5-20-4,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-19-1,Gouvernementsplein,Suriname (Zuid-Amerika)$Paramaribo (stad)$Gouvernementsplein,
NG-1994-65-5-19-2,Hospitaaltuin,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-19-4,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-22-1,Hindostaanse contractarbeiders in het immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-22-2,"Buitenwijk, Paramaribo",Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-22-3,Mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-22-4,Immigrantendepot aan de Sommeldijksche kreek$Sommeldijksche kreek bij koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-21-1,Hindostaanse contractarbeiders in het immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-21-2,"Buitenwijk, Paramaribo",Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-21-3,Mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-21-4,Immigrantendepot aan de Sommeldijksche kreek$Sommeldijksche kreek bij koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-24-1,Hindostaanse contractarbeiders in het immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-24-2,"Waterkant, Paramaribo",Suriname (Zuid-Amerika)$Paramaribo (stad)$Waterkant,
NG-1994-65-5-24-3,"Opzichters Meynard en Schoon, vóór het kamp in de Patrick-savanna",Suriname (Zuid-Amerika)$Patrick Savanna,
NG-1994-65-5-24-4,"Op balkon, Oranjestraat",Suriname (Zuid-Amerika)$Plantage Ma Retraite$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-23-1,Hindostaanse contractarbeiders in het immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-23-2,"Waterkant, Paramaribo",Suriname (Zuid-Amerika)$Paramaribo (stad)$Waterkant,
NG-1994-65-5-23-3,"Opzichters Meynard en Schoon, vóór het kamp in de Patrick-savanna",Suriname (Zuid-Amerika)$Patrick Savanna,
NG-1994-65-5-23-4,"Op balkon, Oranjestraat",Suriname (Zuid-Amerika)$Plantage Ma Retraite$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-26-1,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-26-2,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-26-3,"Pim in het kippenhok, Oranjestraat",Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-26-4,Op balkon Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-25-1,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-25-2,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-25-3,"Pim in het kippenhok, Oranjestraat",Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-25-4,Op balkon Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-28-1,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-28-2,"Overdekte markt, Heiligenweg",Suriname (Zuid-Amerika)$Paramaribo (stad)$Heiligenweg,
NG-1994-65-5-28-3,Kaartspelende mannen in het immigrantendepot$Kaartspel koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-28-4,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-27-1,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-27-2,"Overdekte markt, Heiligenweg",Suriname (Zuid-Amerika)$Paramaribo (stad)$Heiligenweg,
NG-1994-65-5-27-3,Kaartspelende mannen in het immigrantendepot$Kaartspel koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-27-4,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-30-1,Kamp op Patrick-savanna,Suriname (Zuid-Amerika)$Patrick Savanna,
NG-1994-65-5-30-2,Op balkon Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-30-3,Koffieplantage,Suriname (Zuid-Amerika)$Plantage Clevia,
NG-1994-65-5-30-4,Op Clevia,Suriname (Zuid-Amerika)$Plantage Clevia,
NG-1994-65-5-29-1,Kamp op Patrick-savanna,Suriname (Zuid-Amerika)$Patrick Savanna,
NG-1994-65-5-29-2,Op balkon Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-29-3,Koffieplantage,Suriname (Zuid-Amerika)$Plantage Clevia,
NG-1994-65-5-29-4,Op Clevia,Suriname (Zuid-Amerika)$Plantage Clevia,
NG-1994-65-5-32-1,"Hindostaanse contractarbeider op Plantage Jagtlust$Koelievrouw, Jagtlust",Suriname (Zuid-Amerika)$Plantage Jagtlust,
NG-1994-65-5-32-2,To op balkon Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-32-3,Tuin Jagtlust,Suriname (Zuid-Amerika)$Plantage Jagtlust,
NG-1994-65-5-32-4,"Hindostaanse contractarbeider op Plantage Jagtlust$Koelievrouw, Jagtlust",Suriname (Zuid-Amerika)$Plantage Jagtlust,
NG-1994-65-5-31-1,"Hindostaanse contractarbeider op Plantage Jagtlust$Koelievrouw, Jagtlust",Suriname (Zuid-Amerika)$Plantage Jagtlust,
NG-1994-65-5-31-2,To op balkon Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-31-3,Tuin Jagtlust,Suriname (Zuid-Amerika)$Plantage Jagtlust,
NG-1994-65-5-31-4,"Hindostaanse contractarbeider op Plantage Jagtlust$Koelievrouw, Jagtlust",Suriname (Zuid-Amerika)$Plantage Jagtlust,
NG-1994-65-5-34-1,Hindostaanse contractarbeiders$Koelies,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-34-2,"To op balkon, Oranjestraat",Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-34-3,Kaartspelende mannen in het immigrantendepot$Kaartspel in koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-34-4,"Waterkant, Paramaribo",Suriname (Zuid-Amerika)$Paramaribo (stad)$Waterkant,
NG-1994-65-5-33-1,Hindostaanse contractarbeiders$Koelies,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-33-2,"To op balkon, Oranjestraat",Suriname (Zuid-Amerika)$Paramaribo (stad)$Oranjestraat,
NG-1994-65-5-33-3,Kaartspelende mannen in het immigrantendepot$Kaartspel in koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-33-4,"Waterkant, Paramaribo",Suriname (Zuid-Amerika)$Paramaribo (stad)$Waterkant,
NG-1994-65-5-36-1,Longtom op placer de Jong,Suriname (Zuid-Amerika),
NG-1994-65-5-36-2,In het oerbosch,Suriname (Zuid-Amerika),
NG-1994-65-5-36-3,Opzichter Patrick op de naar hem genoemde savanna,Suriname (Zuid-Amerika)$Patrick Savanna,
NG-1994-65-5-36-4,Longtom,Suriname (Zuid-Amerika),
NG-1994-65-5-35-1,Longtom op placer de Jong,Suriname (Zuid-Amerika),
NG-1994-65-5-35-2,In het oerbosch,Suriname (Zuid-Amerika),
NG-1994-65-5-35-3,Opzichter Patrick op de naar hem genoemde savanna,Suriname (Zuid-Amerika)$Patrick Savanna,
NG-1994-65-5-35-4,Longtom,Suriname (Zuid-Amerika),
NG-1994-65-5-38-1,Boomvellen bij Maäbo,Suriname (Zuid-Amerika)$Maäbo Heuvel,
NG-1994-65-5-38-2,Sommeldijksche kreek,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-38-3,Woekerplanten op palm in Tourtonnelaan,Suriname (Zuid-Amerika)$Paramaribo (stad)$Plantage Tourtonne,
NG-1994-65-5-38-4,Kaplijn en brug,Suriname (Zuid-Amerika),
NG-1994-65-5-37-1,Boomvellen bij Maäbo,Suriname (Zuid-Amerika)$Maäbo Heuvel,
NG-1994-65-5-37-2,Kaplijn en brug,Suriname (Zuid-Amerika),
NG-1994-65-5-37-3,Woekerplanten op palm in Tourtonnelaan,Suriname (Zuid-Amerika)$Paramaribo (stad)$Plantage Tourtonne,
NG-1994-65-5-37-4,Sommeldijksche kreek,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-40-1,"Piet Idenburg, Anton, To, vrouw van Brussel en kind bij miereneter",Suriname (Zuid-Amerika)$Plantage Ma Retraite,
NG-1994-65-5-40-2,Sluis op Tourtonne,Suriname (Zuid-Amerika)$Plantage Tourtonne,
NG-1994-65-5-40-3,Woning van een contractarbeider in de Combé$Koeliewoning in Combé,Suriname (Zuid-Amerika)$Paramaribo (stad)$Combé,
NG-1994-65-5-39-1,"Piet Idenburg, Anton, To, vrouw van Brussel en kind bij miereneter",Suriname (Zuid-Amerika)$Plantage Ma Retraite,
NG-1994-65-5-39-2,Sluis op Tourtonne,Suriname (Zuid-Amerika)$Plantage Tourtonne,
NG-1994-65-5-39-3,Woning van een contractarbeider in de Combé$Koeliewoning in Combé,Suriname (Zuid-Amerika)$Paramaribo (stad)$Combé,
NG-1994-65-5-40-4,Tourtonnelaan,Suriname (Zuid-Amerika)$Paramaribo (stad)$Plantage Tourtonne,
NG-1994-65-5-39-4,Tourtonnelaan,Suriname (Zuid-Amerika)$Paramaribo (stad)$Plantage Tourtonne,
NG-1994-65-5-42-1,Bamboegroep in Combé,Suriname (Zuid-Amerika)$Paramaribo (stad)$Combé,
NG-1994-65-5-42-2,Aarden baan bij Maäbo,Suriname (Zuid-Amerika)$Maäbo Heuvel,
NG-1994-65-5-42-3,Goudgroeve op placer de Jong,Suriname (Zuid-Amerika),
NG-1994-65-5-42-4,Booten op Ma retraite,Suriname (Zuid-Amerika)$Plantage Ma Retraite,
NG-1994-65-5-41-1,Bamboegroep in Combé,Suriname (Zuid-Amerika)$Paramaribo (stad)$Combé,
NG-1994-65-5-41-2,Aarden baan bij Maäbo,Suriname (Zuid-Amerika)$Maäbo Heuvel,
NG-1994-65-5-41-3,Goudgroeve op placer de Jong,Suriname (Zuid-Amerika),
NG-1994-65-5-41-4,Booten op Ma retraite,Suriname (Zuid-Amerika)$Plantage Ma Retraite,
NG-1994-65-5-44-1,"Keuken, Sabakoe",Suriname (Zuid-Amerika)$Sabakoe,
NG-1994-65-5-44-2,Uitgewerkte kreek op placer de Jong,Suriname (Zuid-Amerika),
NG-1994-65-5-44-3,Gouddelvers op placer de Jong,Suriname (Zuid-Amerika),
NG-1994-65-5-44-4,Kaplijn bezuiden het balatableederskamp,Suriname (Zuid-Amerika),
NG-1994-65-5-43-1,"Keuken, Sabakoe",Suriname (Zuid-Amerika)$Sabakoe,
NG-1994-65-5-43-2,Uitgewerkte kreek op placer de Jong,Suriname (Zuid-Amerika),
NG-1994-65-5-43-3,Gouddelvers op placer de Jong,Suriname (Zuid-Amerika),
NG-1994-65-5-43-4,Kaplijn bezuiden het balatableederskamp,Suriname (Zuid-Amerika),
NG-1994-65-5-46-1,Op Jagtlust,Suriname (Zuid-Amerika)$Plantage Jagtlust,
NG-1994-65-5-46-2,Longtom,Suriname (Zuid-Amerika),
NG-1994-65-5-46-3,"Kankantrie, Tourtonnelaan",Suriname (Zuid-Amerika)$Plantage Tourtonne,
NG-1994-65-5-46-4,Goudkreek op placer de Jong,Suriname (Zuid-Amerika),
NG-1994-65-5-45-1,Op Jagtlust,Suriname (Zuid-Amerika)$Plantage Jagtlust,
NG-1994-65-5-45-2,Longtom,Suriname (Zuid-Amerika),
NG-1994-65-5-45-3,"Kankantrie, Tourtonnelaan",Suriname (Zuid-Amerika)$Plantage Tourtonne,
NG-1994-65-5-45-4,Goudkreek op placer de Jong,Suriname (Zuid-Amerika),
NG-1994-65-5-48-1,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-48-2,"Opzichterswoningen, Jagtlust",Suriname (Zuid-Amerika)$Plantage Jagtlust,
NG-1994-65-5-48-3,Rijweg Ma retraite bij Combéweg,Suriname (Zuid-Amerika)$Plantage Ma Retraite$Grote Combéweg,
NG-1994-65-5-48-4,Rijweg Ma retraite bij plantage,Suriname (Zuid-Amerika)$Plantage Ma Retraite,
NG-1994-65-5-47-1,Hindostaanse contractarbeiders in het immigrantendepot$In het koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-47-2,"Opzichterswoningen, Jagtlust",Suriname (Zuid-Amerika)$Plantage Jagtlust,
NG-1994-65-5-47-3,Rijweg Ma retraite bij Combéweg,Suriname (Zuid-Amerika)$Plantage Ma Retraite$Grote Combéweg,
NG-1994-65-5-47-4,Rijweg Ma retraite bij plantage,Suriname (Zuid-Amerika)$Plantage Ma Retraite,
NG-1994-65-5-49-1,Klipsteenstraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Klipsteenstraat,
NG-1994-65-5-49-2,Wagenwegstraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Wagenwegstraat,
NG-1994-65-5-49-3,Interieur Oranjestraat,Suriname (Zuid-Amerika)$Paramaribo (stad)$Plantage Ma Retraite$Oranjestraat,
NG-1994-65-5-49-4,Kamp op Patrick-savanna,Suriname (Zuid-Amerika)$Patrick Savanna,
NG-1994-65-5-49-5,Immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad)$Koeliedepot,
NG-1994-65-5-49-6,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-50-1,Immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad)$Koeliedepot,
NG-1994-65-5-50-2,Brug over mond Knuffelsgracht,Suriname (Zuid-Amerika)$Paramaribo (stad)$Knuffelsgracht,
NG-1994-65-5-50-3,Hindostaanse contractarbeiders in het immigrantendepot$Koeliedepôt,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-50-4,'s Landsgrond Boniface,Suriname (Zuid-Amerika)$Paramaribo (stad)$'s-Landsgrond Boniface,
NG-1994-65-5-50-5,In den tuin van het hospitaal,Suriname (Zuid-Amerika)$Paramaribo (stad),
NG-1994-65-5-50-6,Javanen,Suriname (Zuid-Amerika),
NG-1994-65-5-19-3,Patrick-savanna,Suriname (Zuid-Amerika)$Patrick Savanna,
NG-2010-111,"Portret van Aleidus Coenen, componist",Suriname (Zuid-Amerika),
NG-2010-133,Kelkglas met het opschrift: T WELVAREN VAN SIPARIPABO,Suriname (Zuid-Amerika),
RP-F-2009-282-1,Jhr. Mr. T.A.J. van Asch van Wijck / Gouverneur van Suriname,,
RP-F-2009-282-2,"Gezicht op ""Paramaribo"" (van den Marine steiger)",Paramaribo (stad)$Waterkant,
RP-F-2009-282-3,Het Gouvernementshuis,Gouvernementspaleis,
RP-F-2009-282-4,Het Gouvernementsplein,Gouvernementsplein$Hof van Justitie$Administratie van Financiën$Gouvernementspaleis,
RP-F-2009-282-5,Gezicht op de reede,Paramaribo (stad),
