objectnummer;title;matched_field;suggested_street_label;matched_variant;snippet;suggested_wikidata_qid;score;geographic_keywords;current_geo_terms;wikimedia_url
SK-A-4481;De begrafenis van pastoor Joannes Vitus Janssen (1803-43) in Paramaribo;description;Rust en Vredestraat;Rust en Vredestraat;...Joannes Vitus Janssen (1803-43) op het oude kerkhof aan de Rust en Vredestraat te Paramaribo. De aankomst van de begrafenisstoet bij de in...;;45;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:De_begrafenis_van_pastoor_Joannes_Vitus_Janssen_(1803-43)_in_Paramaribo,_SK-A-4481.jpg
RP-T-1905-103;Gezicht op de molen en het kookhuis van plantage Waterland in Suriname;description;Waterkant;Waterkant;‘Dit Gesigt is te Sien op Waterkant als men staat voor de Keuken’ schreef Dirk Valkenburg voor...;Q2512080;35;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);https://commons.wikimedia.org/wiki/File:Gezicht_op_molen_en_kookhuis_op_een_plantage_te_Suriname_Gezichten_op_de_plantages_Surimonbo_en_Palmeniribo_(serietitel),_RP-T-1905-103.jpg
RP-P-1911-322;Gezicht op de waterkant en reede van Paramaribo;title;Waterkant;Waterkant;Gezicht op de waterkant en reede van Paramaribo | Gezigten uit Neerland's West-Indi...;Q2512080;55;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);https://commons.wikimedia.org/wiki/File:Gezicht_op_de_waterkant_en_reede_van_Paramaribo_Gezigten_uit_Neerland's_West-Indien_(serietitel),_RP-P-1911-322.jpg
RP-F-1994-16-9;Portret van een onbekende vrouw op de overdekte markt aan de Heiligenweg, Paramaribo;title;Heiligenweg;Heiligenweg;...ortret van een onbekende vrouw op de overdekte markt aan de Heiligenweg, Paramaribo | De overdekte markt aan de Heilige Weg | Kolon...;Q56492630;57;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Overdekte_markt_aan_de_Heilige_Weg,_Suriname_Kolonie_Suriname_Afbeeldingen_betreffende_Cultuurgewassen,_Plantages,_Goudvelden,_Volkstypen_enz._(serietitel),_RP-F-1994-16-9.jpg
RP-F-F00938;Fotoalbum met bezienswaardigheden in Paramaribo;description;Gouvernementsplein;Gouvernementsplein;...ienswaardigheden in Paramaribo. Daaronder de Waterkant, het Gouvernementsplein, de Heerenstraat, de Steenbakkerystraat, de Saramaccastraat...;;44;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Fotoalbum_met_bezienswaardigheden_in_Paramaribo_Suriname_Paramaribo._(titel_op_object),_RP-F-F00938.jpg
RP-F-F00938;Fotoalbum met bezienswaardigheden in Paramaribo;description;Saramaccastraat;Saramaccastraat;...vernementsplein, de Heerenstraat, de Steenbakkerystraat, de Saramaccastraat, de Maagdenstraat, Fort Zeelandia, de Buitensociëteit, het...;Q107435480;41;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Fotoalbum_met_bezienswaardigheden_in_Paramaribo_Suriname_Paramaribo._(titel_op_object),_RP-F-F00938.jpg
RP-F-F00938;Fotoalbum met bezienswaardigheden in Paramaribo;description;Maagdenstraat;Maagdenstraat;...Heerenstraat, de Steenbakkerystraat, de Saramaccastraat, de Maagdenstraat, Fort Zeelandia, de Buitensociëteit, het Groote Combé-kolon...;Q107435475;39;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Fotoalbum_met_bezienswaardigheden_in_Paramaribo_Suriname_Paramaribo._(titel_op_object),_RP-F-F00938.jpg
RP-F-F01203;Fotoalbum van een onbekende Nederlandse familie met opnames van Suriname, Europa en Nederlands-Indië;description;Gouvernementsplein;Gouvernementsplein;...nthulling van een standbeeld van koningin Wilhelmina op het Gouvernementsplein te Paramaribo in 1923. Voorts opnames van het huiselijke -...;;44;Nederlands-Indië | Suriname (Zuid-Amerika) | Europa | Madeira;Nederlands-Indië | Suriname (Zuid-Amerika) | Europa | Madeira;https://commons.wikimedia.org/wiki/File:Fotoalbum_van_een_onbekende_Nederlandse_familie_met_opnames_van_Suriname,_Europa_en_Nederlands-Indië,_RP-F-F01203.jpg
NG-1979-566-27;Hindostaans huwelijk: de Matkorwa;description;Waterkant;Waterkant;...i mata). De meest ideale plek voor de opgraving is langs de waterkant. De oudste zuster van de vader (de phuwá) heeft hierbij mee...;Q2512080;35;Den Haag | Suriname (Zuid-Amerika);Den Haag | Suriname (Zuid-Amerika);
RP-P-1974-97;Waterkant en rede te Paramaribo;title;Waterkant;Waterkant;Waterkant en rede te Paramaribo | Post Gelderland en Joden Savannah [...;Q2512080;55;Suriname (Zuid-Amerika) | Surinamerivier | Jodensavanne;Suriname (Zuid-Amerika) | Surinamerivier | Jodensavanne;
RP-P-1974-98;Waterkant en rede te Paramaribo;description;Kromme Elleboogstraat;Kromme Elleboogstraat;...at, Steenbakkersgracht, Breestraat, de Waag, Keizersstraat, Kromme Elleboogstraat en de Oranjestraat. Prent maakt deel uit van een omslag met...;Q107435467;46;Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);
RP-P-1974-98;Waterkant en rede te Paramaribo;description;Steenbakkersgracht;Steenbakkersgracht;...laat staan de volgende straten aangegeven: Saramaccastraat, Steenbakkersgracht, Breestraat, de Waag, Keizersstraat, Kromme Elleboogstraat...;;44;Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);
RP-P-1974-98;Waterkant en rede te Paramaribo;description;Saramaccastraat;Saramaccastraat;...artuigen. Op de plaat staan de volgende straten aangegeven: Saramaccastraat, Steenbakkersgracht, Breestraat, de Waag, Keizersstraat, Kr...;Q107435480;41;Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);Suriname (Zuid-Amerika) | Surinamerivier | Waterkant | Paramaribo (stad);
NG-2008-15;Testament van William Leckie;description;Waterkant;Waterkant;...man en vermoedelijk de opdrachtgever van het diorama van de Waterkant van Paramaribo. Het testament bestaat uit twee losse gevouw...;Q2512080;35;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);https://commons.wikimedia.org/wiki/File:Testament_van_William_Leckie,_NG-2008-15.jpg
NG-2009-39-90;Heerenstraat 18 in Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat 18 in Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat_18_in_Paramaribo,_NG-2009-39-90.jpg
NG-2009-39-83;Op de veranda van Heerenstraat 18 in Paramaribo.;title;Heerenstraat;Heerenstraat;Op de veranda van Heerenstraat 18 in Paramaribo.;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Op_de_veranda_van_Heerenstraat_18_in_Paramaribo.,_NG-2009-39-83.jpg
NG-2009-39-85;Paramaribo;description;Heerenstraat;Heerenstraat;Vrouw op de veranda van het huis aan de Heerenstraat, in Paramaribo.;Q107435472;38;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Paramaribo,_NG-2009-39-85.jpg
NG-2009-39-87;Familie op veranda in Paramaribo;description;Heerenstraat;Heerenstraat;Vier vrouwen op een veranda van een huis aan de Heerenstraat in Paramaribo.;Q107435472;38;Paramaribo (stad) | Heerenstraat (Paramaribo);Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Familie_op_veranda_in_Paramaribo,_NG-2009-39-87.jpg
NG-2009-45-5;Familieportret van de familie Brouwers te Paramaribo;description;Heerenstraat;Heerenstraat;...van de familie Brouwers, op de veranda van het huis aan de Heerenstraat te Paramaribo.;Q107435472;38;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Familieportret_van_de_familie_Brouwers_te_Paramaribo,_NG-2009-45-5.jpg
RP-F-2009-223;Paramaribo, Jodenbreestraat 1975;title;Jodenbreestraat;Jodenbreestraat;Paramaribo, Jodenbreestraat 1975 | The Dutch Caribbean : foto's uit Suriname en de Nede...;Q98124865;61;Jodenbreestraat (Paramaribo);Jodenbreestraat (Paramaribo);
RP-F-F01203-CV;Erepoort in de Saramaccastraat te Paramaribo, opgericht ter gelegenheid van de opening van de Lawaspoorlijn (Landsspoorweg) op 28 maart 1905;title;Saramaccastraat;Saramaccastraat;Erepoort in de Saramaccastraat te Paramaribo, opgericht ter gelegenheid van de opening van...;Q107435480;61;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Erepoort_in_de_Saramaccastraat_te_Paramaribo,_opgericht_ter_gelegenheid_van_de_opening_van_de_Lawaspoorlijn_(Landsspoorweg)_op_28_maart_1905_door_de_Saramaccastraat_(titel_op_object),_RP-F-F01203-CV.jpg
RP-F-F01311;Koningin Juliana speldt een onderscheiding op bij een militair op het Gouvernementsplein in Suriname;title;Gouvernementsplein;Gouvernementsplein;...uliana speldt een onderscheiding op bij een militair op het Gouvernementsplein in Suriname | Princess Juliana's visit to Surinam;;64;Paramaribo (stad);Paramaribo (stad);
NG-2009-128;Fotoalbum over het leven van de familie Gonggrijp in Suriname rond 1912;description;Waterkant;Waterkant;...19 april 1912 in Paramaribo, op het grote plein en langs de waterkant. In het album zitten foto's van Oom George Gonggrijp in Sur...;Q2512080;35;Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Clevia | Plantage Morgenstond;Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Clevia | Plantage Morgenstond;https://commons.wikimedia.org/wiki/File:Fotoalbum_over_het_leven_van_de_familie_Gonggrijp_in_Suriname_rond_1912,_NG-2009-128.jpg
NG-2009-130-3;Gravenstraat in Paramaribo met de Sint Petrus en Paulus Kathedraal;title;Gravenstraat;Gravenstraat;Gravenstraat in Paramaribo met de Sint Petrus en Paulus Kathedraal;;58;Paramaribo (stad) | Gravenstraat (Paramaribo) | Sint-Petrus-en-Pauluskathedraal;Paramaribo (stad) | Gravenstraat (Paramaribo) | Sint-Petrus-en-Pauluskathedraal;https://commons.wikimedia.org/wiki/File:Gravenstraat_in_Paramaribo_met_de_Sint_Petrus_en_Paulus_Kathedraal,_NG-2009-130-3.jpg
NG-2009-132-13;Koninginnedag 1905 op het Gouvernementsplein bij buiten-sociëteit Het Park, Paramaribo;title;Gouvernementsplein;Gouvernementsplein;Koninginnedag 1905 op het Gouvernementsplein bij buiten-sociëteit Het Park, Paramaribo;;64;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Koninginnedag_1905_op_het_Gouvernementsplein_bij_buiten-sociëteit_Het_Park,_Paramaribo,_NG-2009-132-13.jpg
NG-2009-132-20;Rivieroever in Suriname;description;Waterkant;Waterkant;...uurt van het dorp Gégé in Suriname met twee personen aan de waterkant. Onderdeel van een groep objecten afkomstig van de familie...;Q2512080;35;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);https://commons.wikimedia.org/wiki/File:Rivieroever_in_Suriname,_NG-2009-132-20.jpg
NG-2009-132-31;Stadsgezicht in Suriname met spooraanleg;description;Waterkant;Waterkant;Vermoedelijk de Waterkant in Paramaribo, waar gewerkt wordt aan de aanleg van de spoo...;Q2512080;35;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Stadsgezicht_in_Suriname_met_spooraanleg,_NG-2009-132-31.jpg
NG-2009-45-31;Zwarte Dinsdag in Paramaribo, 7 februari 1933;description;Gouvernementsplein;Gouvernementsplein;...i 1933. Groep mensen op open terrein tussen gebouwen op het Gouvernementsplein.;;44;Paramaribo (stad);Paramaribo (stad);
NG-2009-141-6;Gonggrijpstraat in Paramaribo;title;Gongrijpstraat;Gonggrijpstraat;Gonggrijpstraat in Paramaribo;Q107435492;55;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Gonggrijpstraat_in_Paramaribo,_NG-2009-141-6.jpg
NG-2009-141-9;Brug bij de Gonggrijpstraat in Paramaribo;title;Gongrijpstraat;Gonggrijpstraat;Brug bij de Gonggrijpstraat in Paramaribo;Q107435492;55;Paramaribo (stad);Paramaribo (stad);https://commons.wikimedia.org/wiki/File:Brug_bij_de_Gonggrijpstraat_in_Paramaribo,_NG-2009-141-9.jpg
NG-2009-93-9-4;Edith Jetten met een parasol in een boot;description;Waterkant;Waterkant;Edith Jetten zittend met een parasol in een boot aan de waterkant. Foto met hoekjes bevestigd op een bladzijde van een albumb...;Q2512080;35;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);https://commons.wikimedia.org/wiki/File:Edith_Jetten_met_een_parasol_in_een_boot,_NG-2009-93-9-4.jpg
NG-2010-11;Bij de onafhankelijkheid van Suriname wordt het standbeeld van koningin Wilhelmina verwijderd, 1975;description;Oranjeplein;Oranjeplein;...a te worden overgebracht. Het beeld stond sinds 1923 op het Oranjeplein. Bij de onafhankelijkheid van Suriname in 1975 werd het van...;;37;Onafhankelijkheidsplein;Onafhankelijkheidsplein;
NG-1994-65-1-22-2;Verlengde Gonggrijpstraat;title;Gongrijpstraat;Gonggrijpstraat;Verlengde Gonggrijpstraat;Q107435492;55;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);https://commons.wikimedia.org/wiki/File:Verlengde_Gonggrijpstraat_(titel_op_object),_NG-1994-65-1-22-2.jpg
NG-1994-65-1-21-2;Verlengde Gonggrijpstraat;title;Gongrijpstraat;Gonggrijpstraat;Verlengde Gonggrijpstraat;Q107435492;55;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);https://commons.wikimedia.org/wiki/File:Verlengde_Gonggrijpstraat_(titel_op_object),_NG-1994-65-1-21-2.jpg
NG-1994-65-1-44-3;Klipsteenstraat en Emmaschool, Paramaribo;title;Klipstenenstraat;Klipsteenstraat;Klipsteenstraat en Emmaschool, Paramaribo;;55;Suriname (Zuid-Amerika) | Paramaribo (stad) | Emmaschool | Klipsteenstraat;Suriname (Zuid-Amerika) | Paramaribo (stad) | Emmaschool | Klipsteenstraat;https://commons.wikimedia.org/wiki/File:Klipsteenstraat_en_Emmaschool,_Paramaribo_(titel_op_object),_NG-1994-65-1-44-3.jpg
NG-1994-65-1-43-2;Klipsteenstraat en Emmaschool, Paramaribo;title;Klipstenenstraat;Klipsteenstraat;Klipsteenstraat en Emmaschool, Paramaribo;;55;Suriname (Zuid-Amerika) | Paramaribo (stad) | Emmaschool | Klipsteenstraat;Suriname (Zuid-Amerika) | Paramaribo (stad) | Emmaschool | Klipsteenstraat;https://commons.wikimedia.org/wiki/File:Klipsteenstraat_en_Emmaschool,_Paramaribo_(titel_op_object),_NG-1994-65-1-43-2.jpg
NG-1994-65-1-49-6;Verlengde Gonggrijpstraat;title;Gongrijpstraat;Gonggrijpstraat;Verlengde Gonggrijpstraat;Q107435492;55;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);https://commons.wikimedia.org/wiki/File:Verlengde_Gonggrijpstraat,_NG-1994-65-1-49-6.jpg
NG-1994-65-2-2-1;Heerenstraat te Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat te Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat_te_Paramaribo,_NG-1994-65-2-2-1.jpg
NG-1994-65-2-2-3;Heerenstraat te Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat te Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat_te_Paramaribo,_NG-1994-65-2-2-3.jpg
NG-1994-65-2-2-4;Heerenstraat te Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat te Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat_te_Paramaribo,_NG-1994-65-2-2-4.jpg
NG-1994-65-2-6-2;Heerenstraat, Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat, Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat,_Paramaribo_(titel_op_object),_NG-1994-65-2-6-2.jpg
NG-1994-65-2-5-2;Heerenstraat, Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat, Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat,_Paramaribo_(titel_op_object),_NG-1994-65-2-5-2.jpg
NG-1994-65-2-8-2;Kankantrie Tourtonnelaan;title;Tourtonnelaan;Tourtonnelaan;Kankantrie Tourtonnelaan;;59;Suriname (Zuid-Amerika) | Paramaribo (stad) | Palmentuin;Suriname (Zuid-Amerika) | Paramaribo (stad) | Palmentuin;https://commons.wikimedia.org/wiki/File:Kankantrie_Tourtonnelaan_(titel_op_object),_NG-1994-65-2-8-2.jpg
NG-1994-65-2-7-2;Kankantrie Tourtonnelaan;title;Tourtonnelaan;Tourtonnelaan;Kankantrie Tourtonnelaan;;59;Suriname (Zuid-Amerika) | Plantage Tourtonne | Plantage Ma Retraite;Suriname (Zuid-Amerika) | Plantage Tourtonne | Plantage Ma Retraite;https://commons.wikimedia.org/wiki/File:Kankantrie_Tourtonnelaan_(titel_op_object),_NG-1994-65-2-7-2.jpg
NG-1994-65-2-40-1;Heerenstraat, Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat, Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat,_Paramaribo_(titel_op_object),_NG-1994-65-2-40-1.jpg
NG-1994-65-2-40-2;Heerenstraat, Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat, Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat,_Paramaribo_(titel_op_object),_NG-1994-65-2-40-2.jpg
NG-1994-65-2-39-2;Heerenstraat, Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat, Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat,_Paramaribo_(titel_op_object),_NG-1994-65-2-39-2.jpg
NG-1994-65-2-39-3;Heerenstraat, Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat, Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);https://commons.wikimedia.org/wiki/File:Heerenstraat,_Paramaribo_(titel_op_object),_NG-1994-65-2-39-3.jpg
NG-1994-65-3-1-3;Heerenstraat te Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat te Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);
NG-1994-65-3-20-2;Badhuis bij Gouverneurskamp;description;Waterkant;Waterkant;Een badhuis in het oerwoud, met een ladder naar de waterkant, volgens het bijschrift bij Gouverneurskamp. Onderdeel van...;Q2512080;35;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);
NG-1994-65-3-19-2;Badhuis bij Gouverneurskamp;description;Waterkant;Waterkant;Een badhuis in het oerwoud, met een ladder naar de waterkant, volgens het bijschrift bij Gouverneurskamp. Onderdeel van...;Q2512080;35;Suriname (Zuid-Amerika);Suriname (Zuid-Amerika);
NG-1994-65-3-42-1;Van Kerkplein naar Watermolenstraat;title;Kerkplein;Kerkplein;Van Kerkplein naar Watermolenstraat;;55;Suriname (Zuid-Amerika) | Paramaribo (stad) | Watermolenstraat | Kerkplein (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Watermolenstraat | Kerkplein (Paramaribo);
NG-1994-65-3-42-2;Hervormde kerk;description;Kerkplein;Kerkplein;Gezicht te Paramaribo op de Hervormde Kerk op het Kerkplein. Onderdeel van het fotoalbum Souvenir de Voyage (deel 3), o...;;35;Suriname (Zuid-Amerika) | Paramaribo (stad) | Kerkplein (Paramaribo) | Hervormde Kerk (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Kerkplein (Paramaribo) | Hervormde Kerk (Paramaribo);
NG-1994-65-3-42-3;Gezicht uit ons huis op het Kerkplein;title;Kerkplein;Kerkplein;Gezicht uit ons huis op het Kerkplein;;55;Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Ma Retraite | Kerkplein (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Ma Retraite | Kerkplein (Paramaribo);
NG-1994-65-3-42-3;Gezicht uit ons huis op het Kerkplein;description;Oranjestraat;Oranjestraat;Gezicht te Paramaribo vanuit een woonhuis (mogelijk aan de Oranjestraat) op het Kerkplein. Onderdeel van het fotoalbum Souvenir de...;;38;Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Ma Retraite | Kerkplein (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Ma Retraite | Kerkplein (Paramaribo);
NG-1994-65-3-41-1;Van Kerkplein naar Watermolenstraat;title;Kerkplein;Kerkplein;Van Kerkplein naar Watermolenstraat;;55;Suriname (Zuid-Amerika) | Paramaribo (stad) | Watermolenstraat | Kerkplein (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Watermolenstraat | Kerkplein (Paramaribo);
NG-1994-65-3-41-2;Hervormde kerk;description;Kerkplein;Kerkplein;Gezicht te Paramaribo op de Hervormde Kerk op het Kerkplein. Onderdeel van het fotoalbum Souvenir de Voyage (deel 3), o...;;35;Suriname (Zuid-Amerika) | Paramaribo (stad) | Kerkplein (Paramaribo) | Hervormde Kerk (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Kerkplein (Paramaribo) | Hervormde Kerk (Paramaribo);
NG-1994-65-3-41-3;Gezicht uit ons huis op het Kerkplein;title;Kerkplein;Kerkplein;Gezicht uit ons huis op het Kerkplein;;55;Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Ma Retraite | Kerkplein (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Ma Retraite | Kerkplein (Paramaribo);
NG-1994-65-3-41-3;Gezicht uit ons huis op het Kerkplein;description;Oranjestraat;Oranjestraat;Gezicht te Paramaribo vanuit een woonhuis (mogelijk aan de Oranjestraat) op het Kerkplein. Onderdeel van het fotoalbum Souvenir de...;;38;Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Ma Retraite | Kerkplein (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Ma Retraite | Kerkplein (Paramaribo);
NG-1994-65-3-44-4;Aan het einde van den Grooten Combéweg;description;Grote Combeweg;Grote Combeweg;Grote Combeweg;Q107435485;40;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);
NG-1994-65-3-43-4;Aan het einde van den Grooten Combéweg;description;Grote Combeweg;Grote Combeweg;Grote Combeweg;Q107435485;40;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);
NG-1994-65-3-46-3;Heerenstraat, Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat, Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);
NG-1994-65-3-45-3;Heerenstraat, Paramaribo;title;Heerenstraat;Heerenstraat;Heerenstraat, Paramaribo;Q107435472;58;Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Heerenstraat (Paramaribo);
NG-1994-65-3-48-4;Aan het einde van den Grooten Combé;description;Grote Combeweg;Grote Combeweg;Grote Combeweg;Q107435485;40;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);
NG-1994-65-3-47-4;Aan het einde van den Grooten Combé;description;Grote Combeweg;Grote Combeweg;Grote Combeweg;Q107435485;40;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);
NG-1994-65-3-49-6;Heiligenweg;title;Heiligenweg;Heiligenweg;Heiligenweg;Q56492630;57;Suriname (Zuid-Amerika) | Paramaribo (stad);Suriname (Zuid-Amerika) | Paramaribo (stad);
NG-1994-65-3-50-3;Van Kerkplein naar Watermolenstraat;title;Kerkplein;Kerkplein;Van Kerkplein naar Watermolenstraat;;55;Suriname (Zuid-Amerika) | Paramaribo (stad) | Watermolenstraat | Kerkplein (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Watermolenstraat | Kerkplein (Paramaribo);
NG-1994-65-4-3-2;Waterkant Albina;title;Waterkant;Waterkant;Waterkant Albina;Q2512080;55;Suriname (Zuid-Amerika) | Albina;Suriname (Zuid-Amerika) | Albina;https://commons.wikimedia.org/wiki/File:Waterkant_Albina_(titel_op_object).jpg
NG-1994-65-4-6-2;Albina;description;Waterkant;Waterkant;Gezicht op de Waterkant met huizen te Albina. Onderdeel van het fotoalbum Souvenir...;Q2512080;35;Suriname (Zuid-Amerika) | Albina;Suriname (Zuid-Amerika) | Albina;https://commons.wikimedia.org/wiki/File:Albina_(titel_op_object),_NG-1994-65-4-6-2.jpg
NG-1994-65-4-15-1;Pim op 20 Augustus 1908, tuin Kerkplein;title;Kerkplein;Kerkplein;Pim op 20 Augustus 1908, tuin Kerkplein;;55;Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Ma Retraite | Kerkplein (Paramaribo);Suriname (Zuid-Amerika) | Paramaribo (stad) | Plantage Ma Retraite | Kerkplein (Paramaribo);
