recordnummer;objectnummer;titel;beschrijving;vervaardiger;datering.datum.start;datering.datum.eind;objectnaam;materiaal;classificatiecode;inhoud.classificatie.code;geografisch_trefwoord;inhoud.hoofdmotief.algemeen;inhoud.hoofdmotief.specifiek;inhoud.onderwerp;inhoud.persoon.naam;PID_data.URI;PID_werk.URI
486527;NG-1994-65-1-40-2;Anton met Arowakken en Marrons$Anton met Arowakken en boschnegers;Een Nederlandse jongen Anton staand poserend voor een groep Surinaamse Arowakken en Marrons. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Ma Retraite;economische geschiedenis$overzeese geschiedenis$Marrons;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521539;https://id.rijksmuseum.nl/200521539
486528;NG-1994-65-1-39-1;Anton met drie Marrons$Anton met boschnegers;Een Nederlandse jongen Anton zittend poserend voor een groep van drie Marrons, met roeispaan en pijl en boog. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Ma Retraite;economische geschiedenis$overzeese geschiedenis$Marrons;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521540;https://id.rijksmuseum.nl/200521540
486529;NG-1994-65-1-39-2;Anton met Arowakken en Marrons;Een Nederlandse jongen Anton staand poserend voor een groep Surinaamse Arowakken en Marrons. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Ma Retraite;economische geschiedenis$overzeese geschiedenis$Marrons;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521541;https://id.rijksmuseum.nl/200521541
486629;NG-1994-65-1-42-1;"Aanvoer van cacao op ""Ma retraite""";Werknemers staande bij manden met geoogste cacaobonen of cacaovruchten bij loodsen op het terrein van de plantage Ma Retraite. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Ma Retraite;economische geschiedenis$overzeese geschiedenis$cacaocultuur;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521632;https://id.rijksmuseum.nl/200521632
486630;NG-1994-65-1-42-2;"Aanvoer van cacao op ""Ma retraite""";Werknemers staande bij manden met geoogste cacaobonen of cacaovruchten bij loodsen op het terrein van de plantage Ma Retraite. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Ma Retraite;economische geschiedenis$overzeese geschiedenis$cacaocultuur;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521633;https://id.rijksmuseum.nl/200521633
486631;NG-1994-65-1-41-1;"Aanvoer van cacao op ""Ma retraite""";Werknemers staande bij manden met geoogste cacaobonen of cacaovruchten bij loodsen op het terrein van de plantage Ma Retraite. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Ma Retraite;economische geschiedenis$overzeese geschiedenis$cacaocultuur;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521634;https://id.rijksmuseum.nl/200521634
486632;NG-1994-65-1-41-2;"Aanvoer van cacao op ""Ma retraite""";Werknemers staande bij manden met geoogste cacaobonen of cacaovruchten bij loodsen op het terrein van de plantage Ma Retraite. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Ma Retraite;economische geschiedenis$overzeese geschiedenis$cacaocultuur;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521635;https://id.rijksmuseum.nl/200521635
486633;NG-1994-65-1-44-1;"Droogvloer op ""Ma retraite""";Cacaobonen drogend in de zon op droogvloeren bij loodsen op het terrein van de plantage Ma Retraite. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Ma Retraite;economische geschiedenis$overzeese geschiedenis$cacaocultuur;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521636;https://id.rijksmuseum.nl/200521636
486634;NG-1994-65-1-44-2;Vaillantsplein, Paramaribo;Gezicht op de huizen op Vaillantsplein te Paramaribo. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Paramaribo (stad)$Vaillantsplein;economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521637;https://id.rijksmuseum.nl/200521637
486635;NG-1994-65-1-44-3;Klipsteenstraat en Emmaschool, Paramaribo;Gezicht in de Klipsteenstraat met schoolgaande kinderen op weg naar de Emmaschool te Paramaribo. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Paramaribo (stad)$Emmaschool$Klipsteenstraat;economische geschiedenis$overzeese geschiedenis$school;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521638;https://id.rijksmuseum.nl/200521638
486636;NG-1994-65-1-43-1;"Droogvloer op ""Ma retraite""";Cacaobonen drogend in de zon op droogvloeren bij loodsen op het terrein van de plantage Ma Retraite. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Ma Retraite;economische geschiedenis$overzeese geschiedenis$cacaocultuur;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521639;https://id.rijksmuseum.nl/200521639
486637;NG-1994-65-1-43-2;Klipsteenstraat en Emmaschool, Paramaribo;Gezicht in de Klipsteenstraat met schoolgaande kinderen op weg naar de Emmaschool te Paramaribo. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Paramaribo (stad)$Emmaschool$Klipsteenstraat;economische geschiedenis$overzeese geschiedenis$school;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521640;https://id.rijksmuseum.nl/200521640
486638;NG-1994-65-1-43-3;Vaillantsplein, Paramaribo;Gezicht op de huizen op Vaillantsplein te Paramaribo. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Paramaribo (stad)$Vaillantsplein;economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521641;https://id.rijksmuseum.nl/200521641
486639;NG-1994-65-1-46-1;Caraïbendorp bij Galibi, Suriname$Caräibenkampen bij Galibi;Caraïbendorp bij de plaats Galibi in Suriname. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Kamp met hutten van de Surinaamse Indiaanse Karaïben, bij de plaats Galibi. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344$41A182;Suriname (Zuid-Amerika)$Galibi;economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521642;https://id.rijksmuseum.nl/200521642
486640;NG-1994-65-1-46-2;Surinaamse Caraïben op een erf in de Saramaccastraat, Paramaribo$Caräiben op erf in de Saramaccastraat;Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Caraïben. Wanneer de Caraïben naar Paramaribo kwamen, verbleven zij vaak in de Sarammacastraat, dichtbij de Surinamerivier waarover zij aankwamen. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Indiaanse Karaïben. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344;Suriname (Zuid-Amerika)$Paramaribo (stad)$Saramaccastraat;economische geschiedenis$overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521643;https://id.rijksmuseum.nl/200521643
486642;NG-1994-65-1-46-3;Surinaamse Caraïben op een erf in de Saramaccastraat, Paramaribo$Caräiben op erf in de Saramaccastraat;Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Caraïben. Wanneer de Caraïben naar Paramaribo kwamen, verbleven zij vaak in de Sarammacastraat, dichtbij de Surinamerivier waarover zij aankwamen. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Indiaanse Karaïben. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344;Suriname (Zuid-Amerika)$Paramaribo (stad)$Saramaccastraat;economische geschiedenis$overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521645;https://id.rijksmuseum.nl/200521645
486643;NG-1994-65-1-45-1;Caraïbendorp bij Galibi, Suriname$Caräibenkampen bij Galibi;Caraïbendorp bij de plaats Galibi in Suriname. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Kamp met hutten van de Surinaamse Indiaanse Karaïben, bij de plaats Galibi. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344$41A182;Suriname (Zuid-Amerika)$Galibi;economische geschiedenis$overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521646;https://id.rijksmuseum.nl/200521646
486644;NG-1994-65-1-45-2;Surinaamse Caraïben op een erf in de Saramaccastraat, Paramaribo$Caräiben op erf in de Saramaccastraat;Gezicht op de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Caraïben. Wanneer Caraïben naar Paramaribo kwamen, verbleven zij vaak in de Sarammacastraat, dichtbij de Surinamerivier waarover zij aankwamen. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Indiaanse Karaïben. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344;Suriname (Zuid-Amerika)$Paramaribo (stad)$Saramaccastraat;economische geschiedenis$overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521647;https://id.rijksmuseum.nl/200521647
486645;NG-1994-65-1-45-3;Surinaamse Caraïben op een erf in de Saramaccastraat, Paramaribo$Caräiben op erf in de Saramaccastraat;Gezicht op de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Caraïben. Wanneer de Caraïben naar Paramaribo kwamen, verbleven zij vaak in de Sarammacastraat, dichtbij de Surinamerivier waarover zij aankwamen. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Indiaanse Karaïben. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344;Suriname (Zuid-Amerika)$Paramaribo (stad)$Saramaccastraat;economische geschiedenis$overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521648;https://id.rijksmuseum.nl/200521648
486646;NG-1994-65-1-48-1;Familie in een woning bij Albina, Suriname$Indianenkamp bij Albina;Familie in een woning in een kamp bij Albina. De mannen, vrouwen en kinderen zijn nazaten van de oorsronkelijke bevolking van Suriname. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Familie van Surinaamse Indianen in een hut in een kamp bij Albina. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344$41A182;Suriname (Zuid-Amerika)$Albina;economische geschiedenis$overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521649;https://id.rijksmuseum.nl/200521649
486647;NG-1994-65-1-48-2;Surinaamse Caraïben op een erf in de Saramaccastraat, Paramaribo$Caräiben op erf in de Saramaccastraat;Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Caraïben. Wanneer de Caraïben naar Paramaribo kwamen, verbleven zij vaak in de Sarammacastraat, dichtbij de Surinamerivier waarover zij aankwamen. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Indiaanse Karaïben. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344;Suriname (Zuid-Amerika)$Paramaribo (stad)$Saramaccastraat;economische geschiedenis$overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521650;https://id.rijksmuseum.nl/200521650
486648;NG-1994-65-1-48-3;Surinaamse Caraïben op een erf in de Saramaccastraat, Paramaribo$Caräiben op erf in de Saramaccastraat;Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Caraïben. Wanneer de Caraïben naar Paramaribo kwamen, verbleven zij vaak in de Sarammacastraat, dichtbij de Surinamerivier waarover zij aankwamen. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Indiaanse Karaïben. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344;Suriname (Zuid-Amerika)$Paramaribo (stad)$Saramaccastraat;economische geschiedenis$overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521651;https://id.rijksmuseum.nl/200521651
486649;NG-1994-65-1-47-1;Familie in een woning bij Albina, Suriname$Indianenkamp bij Albina;Familie in een woning in een kamp bij Albina. De mannen, vrouwen en kinderen zijn nazaten van de oorspronkelijke bewoners van Suriname. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Familie van Surinaamse Indianen in een hut in een kamp bij Albina. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344$41A182;Suriname (Zuid-Amerika)$Albina;economische geschiedenis$overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521652;https://id.rijksmuseum.nl/200521652
486650;NG-1994-65-1-47-2;Surinaamse Caraïben op een erf in de Saramaccastraat, Paramaribo$Caräiben op erf in de Saramaccastraat;Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Caraïben. Wanneer de Caraïben naar Paramaribo kwamen, verbleven zij vaak in de Sarammacastraat, dichtbij de Surinamerivier waarover zij aankwamen. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Indiaanse Karaïben. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344;Suriname (Zuid-Amerika)$Paramaribo (stad)$Saramaccastraat;economische geschiedenis$overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521653;https://id.rijksmuseum.nl/200521653
486651;NG-1994-65-1-47-3;Surinaamse Caraïben op een erf in de Saramaccastraat, Paramaribo$Caräiben op erf in de Saramaccastraat;Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Caraïben. Wanneer de Caraïben naar Paramaribo kwamen, verbleven zij vaak in de Sarammacastraat, dichtbij de Surinamerivier waarover zij aankwamen. Onderdeel van het fotoalbum van de familie Doijer, Souvenir de Voyage (deel 1), in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.$Gezicht in de Saramaccastraat te Paramaribo, met een groepje poserende Surinaamse Indiaanse Karaïben. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";32B344;Suriname (Zuid-Amerika)$Paramaribo (stad)$Saramaccastraat;economische geschiedenis$overzeese geschiedenis$oorspronkelijke bewoners van Zuid-Amerika;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521654;https://id.rijksmuseum.nl/200521654
486652;NG-1994-65-1-49-1;Meetkamp met muskietentent aan de Saramaccakreek;Een tent overspannen met een muskietennet, in het meetkamp in het oerwoud aan de Kleine Saramacca Rivier (Saramaccakreek). Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika);economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521655;https://id.rijksmuseum.nl/200521655
486653;NG-1994-65-1-49-2;Meetkamp in oerbosch;Gezicht op een hut gebouwd van takken en bladeren in het meetkamp, in het oerwoud. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika);economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521656;https://id.rijksmuseum.nl/200521656
486654;NG-1994-65-1-49-3;In het oerbosch;Bomen en planten in het Surinaamse oerbos. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika);economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521657;https://id.rijksmuseum.nl/200521657
486655;NG-1994-65-1-49-4;Heiligenweg en Vaillantsplein, Paramaribo;Gezicht op de Heiligenweg met overdekte passage en het Vaillantsplein te Paramaribo. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Paramaribo (stad)$Heiligenweg$Vaillantsplein;economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521658;https://id.rijksmuseum.nl/200521658
486656;NG-1994-65-1-49-5;Gezicht uit huis op Heiligenweg;Gezicht op de Heiligenweg met overdekte passage, te Paramaribo. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Paramaribo (stad)$Heiligenweg;economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521659;https://id.rijksmuseum.nl/200521659
486657;NG-1994-65-1-49-6;Verlengde Gonggrijpstraat;Smalle weg lopend tussen gras en bomen, in een onderschrift aangeduid als de verlengde Gonggrijpstraat. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika);economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521660;https://id.rijksmuseum.nl/200521660
486658;NG-1994-65-1-50-1;Huis van een moslim;Het huis van een moslim, met brug en schutting waaraan een bord is bevestigd met opschrift: Mohammedaan ... Islam. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika);economische geschiedenis$overzeese geschiedenis$islam$moslims;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521661;https://id.rijksmuseum.nl/200521661
486659;NG-1994-65-1-50-2;Marrongezin uit Gansee;Marron gezin uit het dorp Gansee staande voor een huis te Kwakoegron, de man houdt zijn hand op een houten roeispaan. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Kwakoegron;economische geschiedenis$overzeese geschiedenis$Marrons;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521662;https://id.rijksmuseum.nl/200521662
486660;NG-1994-65-1-50-3;De Antoniuskerk, of ‘Chinese kerk' in de Burenstraat$R.C. koeliekerk, Burenstraat;De Antoniuskerk voor Chinese contractarbeiders in de Burenstraat te Paramaribo. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910$De rooms-katholieke zg. koeliekerk aan de Burenstraat te Paramaribo. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";11Q712;Suriname (Zuid-Amerika)$Paramaribo (stad)$Burenstraat;economische geschiedenis$overzeese geschiedenis$contractarbeiders;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521663;https://id.rijksmuseum.nl/200521663
486661;NG-1994-65-1-50-4;Straat met huizen;Gezicht op een straat met huizen (te Paramaribo?). Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika);economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521664;https://id.rijksmuseum.nl/200521664
486662;NG-1994-65-1-50-5;Oerwoud;Gezicht in het oerwoud. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika);economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521665;https://id.rijksmuseum.nl/200521665
486663;NG-1994-65-1-50-6;Gouddelverskamp aan den voet van den Brownsberg;Hut in het kamp van goudzoekers bij de Browns Berg. Onderdeel van het fotoalbum Souvenir de Voyage (deel 1), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Browns Berg;economische geschiedenis$overzeese geschiedenis$goudwinning;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521666;https://id.rijksmuseum.nl/200521666
486667;NG-1994-65-2-1-1;Marrongezin uit Gansee;Marrongezin uit het dorp Gansee staande voor een huis te Kwakoegron, de man houdt zijn hand op een houten roeispaan. Onderdeel van het fotoalbum Souvenir de Voyage (deel 2), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Kwakoegron;economische geschiedenis$overzeese geschiedenis$Marrons;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521668;https://id.rijksmuseum.nl/200521668
486668;NG-1994-65-2-1-2;Palmentuin, Paramaribo;Hoge bomen in de Palmentuin te Paramaribo, aan het eind een bruggetje waarop een jongen staat. Onderdeel van het fotoalbum Souvenir de Voyage (deel 2), over het leven van de familie Doijer in en rond de plantage Ma Retraite in Suriname in de jaren 1903-1910.;Doijer, Hendrik;1903;1910;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Paramaribo (stad)$Palmentuin;economische geschiedenis$overzeese geschiedenis;"";"";Doijer, familie;https://data.rijksmuseum.nl/200521669;https://id.rijksmuseum.nl/200521669
