recordnummer;objectnummer;titel;beschrijving;vervaardiger;datering.datum.start;datering.datum.eind;objectnaam;materiaal;classificatiecode;inhoud.classificatie.code;geografisch_trefwoord;inhoud.hoofdmotief.algemeen;inhoud.hoofdmotief.specifiek;inhoud.onderwerp;inhoud.persoon.naam;PID_data.URI;PID_werk.URI
479226;NG-2009-130-12;Plantage Clevia;Het hospitaal en een loods van de plantage Clevia aan de weg naar Leonsberg in Suriname. Links achter de boom het plantagehuis, rechts daarvan de cacaoloods en helemaal rechts het hospitaal. Ook een aantal mensen staat op de foto afgebeeld. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;Boom, Andries Augustus;1908;1908;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Clevia;overzeese geschiedenis$economische geschiedenis$plantage$suikerindustrie$cacaocultuur;"";"";"";https://data.rijksmuseum.nl/200515214;https://id.rijksmuseum.nl/200515214
479227;NG-2009-130-13;Het woonhuis op plantage Clevia;Het woonhuis op plantage Clevia. Op de trap van het huis zitten twee meisjes. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;Gonggrijp, Justus;1916-09;1916-09;foto;fotodrager;"";"";Suriname (Zuid-Amerika)$Plantage Clevia;overzeese geschiedenis$economische geschiedenis$plantage;"";"";"";https://data.rijksmuseum.nl/200515215;https://id.rijksmuseum.nl/200515215
479228;NG-2009-130-14;Drie vrouwen in koto op de plantage Clevia;"Drie Nederlandse vrouwen poseren op de plantage Clevia in koto, traditionele Surinaamse kledij; de middelste vrouw is Maria Gonggrijp (""Poppy""). Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.";anoniem;1911;1911;foto;fotodrager;"";25K182$41D3;Suriname (Zuid-Amerika)$Plantage Clevia;overzeese geschiedenis$economische geschiedenis$plantage;"";"";Gonggrijp, Maria;https://data.rijksmuseum.nl/200515216;https://id.rijksmuseum.nl/200515216
479229;NG-2009-130-15;Justus Gonggrijp samen met Anna Rühmann op plantage Clevia;Justus Gonggrijp samen met Anna Rühmann staande voor de trap naar het huis op plantage Clevia. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;Boom, Andries Augustus;1912;1912;foto;fotodrager;"";25K182;Suriname (Zuid-Amerika)$Plantage Clevia;overzeese geschiedenis$economische geschiedenis$plantage;"";"";Gonggrijp, Justus$Gonggrijp-Rühmann, Anna;https://data.rijksmuseum.nl/200515217;https://id.rijksmuseum.nl/200515217
479230;NG-2009-130-16;Het gezin Gonggrijp op plantage Clevia;Groepsportret van het echtpaar Justus Gonggrijp en Anna Rühmann met hun dochter Maria Gonggrijp, op plantage Clevia. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;Boom, Andries Augustus;1911;1911;foto;fotodrager;"";25K182;Suriname (Zuid-Amerika)$Plantage Clevia;overzeese geschiedenis$economische geschiedenis$plantage;"";"";Gonggrijp, Justus$Gonggrijp, Maria$Gonggrijp-Rühmann, Anna;https://data.rijksmuseum.nl/200515218;https://id.rijksmuseum.nl/200515218
479231;NG-2009-130-17;Verkleed gezelschap in een zaal;Verkleed gezelschap poserend voor een groepsportret in een zaal, vermoedelijk naar aanleiding van een toneelvoorstelling of feest. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1908;1920;foto;fotodrager$karton;"";48C853$61B113;Suriname (Zuid-Amerika);overzeese geschiedenis$cultuurgeschiedenis$toneel;"";"";"";https://data.rijksmuseum.nl/200515219;https://id.rijksmuseum.nl/200515219
479232;NG-2009-130-18;Kinderen in motorboot, plantage Morgenstond in Suriname;Vier kinderen en een man op een motorboot, op plantage Morgenstond in Suriname. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1923;1923;foto;fotodrager;"";46C541$25K182;Suriname (Zuid-Amerika)$Plantage Morgenstond;overzeese geschiedenis$economische geschiedenis$plantage;"";"";"";https://data.rijksmuseum.nl/200515220;https://id.rijksmuseum.nl/200515220
479233;NG-2009-130-19;Feest aan boord van een schip;Gezelschap jonge mannen en vrouwen tijdens een feest aan boord van H.M. Pantserdekschip 'Utrecht', vermoedelijk tijdens Nieuwjaar. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1908;1915;foto;fotodrager$karton;"";43A2$45D22(+33);Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis;"";Nieuwjaar;Utrecht (schip);https://data.rijksmuseum.nl/200515221;https://id.rijksmuseum.nl/200515221
479234;NG-2009-130-20;Koetsje met paard in Paramaribo;Koetsje met drie inzittenden en twee vrouwen zittend te paard, te Paramaribo. Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;anoniem;1910;1910;foto;fotodrager;"";46C1441;Paramaribo (stad);overzeese geschiedenis$economische geschiedenis$verkeer en vervoer;"";"";"";https://data.rijksmuseum.nl/200515222;https://id.rijksmuseum.nl/200515222
479235;NG-2009-130-21;Gezelschap op een plantage, met links Maria Gonggrijp;Gezelschap van vijf personen op een plantage. Linksvoor Maria Gonggrijp. Rechtsvoor Louise Catharina Spiering van plantage Morgenstond met haar dochters linksachter Stephanie (Nita) Gonggrijp en rechtsachter Anna Barbara (Annie). Onderdeel van een groep foto's van de familie Boom-Gonggrijp in Suriname.;Boom, Andries Augustus;1911;1911;foto;fotodrager;"";25K182;Suriname (Zuid-Amerika);overzeese geschiedenis$economische geschiedenis$plantage;"";"";Gonggrijp, Maria;https://data.rijksmuseum.nl/200515223;https://id.rijksmuseum.nl/200515223
