recordnummer;term;broader_term;PID_overige.URI;PID_overige.URI;PID_overige.URI
103404;'s-Landsgrond Boniface;Paramaribo (stad);;;
560567;Slootwijk;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q2777030;;
103867;Soldatenstraat;Paramaribo (stad);;;
36401;Sommelsdijk (Suriname);Suriname (Zuid-Amerika);;;
103407;Sommelsdijkse straat;Paramaribo (stad);;;
571566;Statengebouw;Paramaribo (stad);http://www.wikidata.org/entity/Q1760847;;
561446;Steenbakkersgracht;Paramaribo (stad);;;
561432;Steenbakkerstraat;Paramaribo (stad);;;
103860;Steenen Gebouw;Paramaribo (stad);;;
102050;Stoelmanseiland;Suriname (Zuid-Amerika);https://sws.geonames.org/3383023/;;
567322;Stoelmanstraat;Paramaribo (stad);;;
561430;Surinaamsche Bank, De;Paramaribo (stad);http://www.wikidata.org/entity/Q5244764;;
105868;Suriname (district);Suriname (Zuid-Amerika);http://vocab.getty.edu/tgn/1000937;http://www.wikidata.org/entity/Q2688457;
26124;Suriname (Zuid-Amerika);Zuid-Amerika;http://vocab.getty.edu/tgn/7015386;http://www.wikidata.org/entity/Q730;
24743;Surinamerivier;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q635545;https://sws.geonames.org/3382997/;
105855;Synagoge Neve Shalom;Paramaribo (stad);;;
105784;Tamarindelaan;Paramaribo (stad);;;
103879;Totness;Suriname (Zuid-Amerika);;;
103413;Vaillantsplein;Paramaribo (stad);http://vocab.getty.edu/tgn/7015387;http://www.wikidata.org/entity/Q3001;
93087;Voorburg (Suriname);Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q15883580;;
103869;Wagenweg Straat;Paramaribo (stad);;;
103868;Wagenwegstraat;Paramaribo (stad);;;
103411;Wanicastraat;Paramaribo (stad);;;
100679;Waterkant;Paramaribo (stad);http://www.wikidata.org/entity/Q2512080;;
103861;Watermolenstraat;Paramaribo (stad);;;
561436;Willemschool;Paramaribo (stad);;;
561429;Wolfenbüttel (instelling);Paramaribo (stad);http://www.wikidata.org/entity/Q42363044;;
567325;Zanderij;Surinamerivier;http://www.wikidata.org/entity/Q146633;https://sws.geonames.org/3382670/;
