recordnummer;term;match_wiki;Qids;broader_term;wikidata;PID_overige.URI;PID_overige.URI2;PID_overige.URI3;wiki_id;wiki_id_broader;wiki_id_query;coords
105856;Gravenstraat (Paramaribo);Henck Arron Street;http://www.wikidata.org/entity/Q2794939;Paramaribo (stad);http://www.wikidata.org/entity/Q2794939;;;;Q2794939;;wd:Q2794939;Point(-55.16185 5.83236)
119538;Gröningen;Groningen;http://www.wikidata.org/entity/Q508935;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q508935;http://vocab.getty.edu/tgn/1024828;;;Q508935;;wd:Q508935;Point(-55.466666666 5.783333333)
574116;Groot-Marseille;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59115654;http://www.wikidata.org/entity/Q59115654;;;Q59115654;;wd:Q59115654;Point(-54.583726154 5.875025798)
103874;Gros;Rosebel Gold Mine;http://www.wikidata.org/entity/Q15273305;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q15273305;;;;Q15273305;;wd:Q15273305;Point(-55.15583333 5.07694444)
103412;Grote Combéweg;Grote Combéweg;http://www.wikidata.org/entity/Q107435485;Paramaribo (stad);http://www.wikidata.org/entity/Q107435485;;;;Q107435485;;wd:Q107435485;Point(-55.14983934 5.830861)
561445;Grote Stadskerk;Grote Stadskerk;http://www.wikidata.org/entity/Q57603554;Paramaribo (stad);http://www.wikidata.org/entity/Q57603554;;;;Q57603554;;wd:Q57603554;Point(-55.160833333 5.825277777)
103408;Heerenstraat (Paramaribo);Heerenstraat;http://www.wikidata.org/entity/Q107435472;Paramaribo (stad);http://www.wikidata.org/entity/Q107435472;;;;Q107435472;;wd:Q107435472;Point(-55.1566328 5.8285317)
103409;Heiligenweg;Heiligenweg;http://www.wikidata.org/entity/Q56492630;Paramaribo (stad);http://www.wikidata.org/entity/Q56492630;;;;Q56492630;;wd:Q56492630;Point(-55.157254 5.826255)
103864;Hervormde Kerk (Paramaribo);;;Paramaribo (stad);http://www.wikidata.org/entity/Q1996830;http://www.wikidata.org/entity/Q1996830;;;Q1996830;;wd:Q1996830;Point(-55.155264 5.827175)
103398;Het Park;Buitensociëteit Het Park;http://www.wikidata.org/entity/Q80816587;Paramaribo (stad);http://www.wikidata.org/entity/Q80816587;;;;Q80816587;;wd:Q80816587;Point(-55.150833333 5.825277777)
103858;Hof van Justitie;High Court of Justice of Suriname;http://www.wikidata.org/entity/Q2394876;Paramaribo (stad);http://www.wikidata.org/entity/Q2394876;;;;Q2394876;;wd:Q2394876;Point(-55.152333 5.826389)
573922;Huis Du Plessis;;;Paramaribo (stad);http://www.wikidata.org/entity/Q56434052;http://www.wikidata.org/entity/Q56434052;;;Q56434052;;wd:Q56434052;Point(-55.152139 5.826944)
