

recordnummer,objectnummer,PID_overige.URI,wikidata_url,wikimedia_url
233061,NG-NM-140,http://hdl.handle.net/10934/RM0001.COLLECT.233061,,"https://commons.wikimedia.org/wiki/File:Fort_Leyden_(Suriname)_Twee_maquettes_van_het_Fort_Leyden,_NG-NM-140.jpg"
233063,NG-NM-141,http://hdl.handle.net/10934/RM0001.COLLECT.233063,,"https://commons.wikimedia.org/wiki/File:Fort_Leyden_(Suriname)_Twee_maquettes_van_het_Fort_Leyden,_NG-NM-141.jpg"
233438,RP-F-1994-12,http://hdl.handle.net/10934/RM0001.COLLECT.233438,,"https://commons.wikimedia.org/wiki/File:Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883,_RP-F-1994-12.jpg"
233578,RP-F-1994-16,http://hdl.handle.net/10934/RM0001.COLLECT.233578,,
234445,RP-T-1895-A-3085,http://hdl.handle.net/10934/RM0001.COLLECT.234445,,"https://commons.wikimedia.org/wiki/File:Gezicht_op_Paramaribo,_RP-T-1895-A-3085.jpg"
234838,RP-T-1971-82,http://hdl.handle.net/10934/RM0001.COLLECT.234838,,https://commons.wikimedia.org/wiki/File:Rivierlandschap_met_op_de_voorgrond_een_fazant.jpeg
241091,RP-T-00-1849,http://hdl.handle.net/10934/RM0001.COLLECT.241091,,"https://commons.wikimedia.org/wiki/File:De_wapens_van_Suriname,_RP-T-00-1849.jpg"
241168,RP-F-1994-12-1,http://hdl.handle.net/10934/RM0001.COLLECT.241168,,"https://commons.wikimedia.org/wiki/File:Groepsportret_van_Surinaamse_Arowakken_en_Caraïben_op_de_Koloniale_tentoonstelling,_Amsterdam_1883_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-1.jpg"
241177,RP-F-1994-12-3,http://hdl.handle.net/10934/RM0001.COLLECT.241177,,"https://commons.wikimedia.org/wiki/File:Groepsportret_van_Surinamers_('Surinaamsche_Creolen')_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-3.jpg"
241178,RP-F-1994-12-4,http://hdl.handle.net/10934/RM0001.COLLECT.241178,,https://commons.wikimedia.org/wiki/File:Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883.jpg
241183,RP-F-1994-12-5,http://hdl.handle.net/10934/RM0001.COLLECT.241183,,"https://commons.wikimedia.org/wiki/File:Groepsportret_van_de_familie_Ka-ja-Roe_op_de_Koloniale_tentoonstelling,_Amsterdam_1883_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-5.jpg"
241186,RP-F-1994-12-6,http://hdl.handle.net/10934/RM0001.COLLECT.241186,,"https://commons.wikimedia.org/wiki/File:Portret_van_Jean_Baptiste_Ka-Ja-Roe,_en_face_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-6.jpg"
241188,RP-F-1994-12-7,http://hdl.handle.net/10934/RM0001.COLLECT.241188,,"https://commons.wikimedia.org/wiki/File:Portret_van_Jean_Baptiste_Ka-Ja-Roe,_en_profil_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-7.jpg"
241189,RP-F-1994-12-8,http://hdl.handle.net/10934/RM0001.COLLECT.241189,,"https://commons.wikimedia.org/wiki/File:Portret_van_Aliha-Kama,_en_face_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-8.jpg"
241191,RP-F-1994-12-9,http://hdl.handle.net/10934/RM0001.COLLECT.241191,,"https://commons.wikimedia.org/wiki/File:Portret_van_Aliha-Kama,_en_profil_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-9.jpg"
241193,RP-F-1994-12-10,http://hdl.handle.net/10934/RM0001.COLLECT.241193,,"https://commons.wikimedia.org/wiki/File:Portret_van_Awarahena,_en_face_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-10.jpg"
241195,RP-F-1994-12-11,http://hdl.handle.net/10934/RM0001.COLLECT.241195,,"https://commons.wikimedia.org/wiki/File:Portret_van_Awarahena,_en_profil_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-11.jpg"
241200,RP-F-1994-12-12,http://hdl.handle.net/10934/RM0001.COLLECT.241200,,"https://commons.wikimedia.org/wiki/File:Portret_van_Pierre_Miharoe,_en_face_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-12.jpg"
241201,RP-F-1994-12-13,http://hdl.handle.net/10934/RM0001.COLLECT.241201,,"https://commons.wikimedia.org/wiki/File:Portret_van_Pierre_Miharoe,_en_profil_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-13.jpg"
241204,RP-F-1994-12-14,http://hdl.handle.net/10934/RM0001.COLLECT.241204,,
241205,RP-F-1994-12-15,http://hdl.handle.net/10934/RM0001.COLLECT.241205,,"https://commons.wikimedia.org/wiki/File:Portret_van_Kolleté,_en_profil_Les_Habitants_de_Suriname._Notes_recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-15.jpg"
